age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-2.329,0.6335659692297394,0.4364025902213954,0.42365481858354603,0.8026403419808427,1,Pitch range,Prosodic
-2.325,0.6335676696089728,0.43639555447732936,0.42365997402162153,0.8026393177656355,1,Pitch range,Prosodic
-2.324,0.6335680947032614,0.43639379736726486,0.423661262009893,0.8026390622781236,1,Pitch range,Prosodic
-2.323,0.6335685197973419,0.4363920409875988,0.42366254964965516,0.8026388070171346,1,Pitch range,Prosodic
-2.322,0.6335689448912145,0.4363902853383401,0.42366383694090337,0.8026385519826718,1,Pitch range,Prosodic
-2.321,0.6335693699848792,0.43638853041949743,0.4236651238836322,0.8026382971747387,1,Pitch range,Prosodic
-2.32,0.633569795078336,0.43638677623107974,0.4236664104778366,0.8026380425933385,1,Pitch range,Prosodic
-2.318,0.6335706452646258,0.4363832700455542,0.4236689826206523,0.8026375341101507,1,Pitch range,Prosodic
-2.317,0.6335710703574587,0.4363815180484641,0.42367026816925313,0.80263728020837,1,Pitch range,Prosodic
-2.316,0.6335714954500837,0.43637976678183404,0.42367155336930934,0.8026370265331357,1,Pitch range,Prosodic
-2.312,0.6335731958185046,0.4363727690200909,0.4236766906839866,0.8026360140977328,1,Pitch range,Prosodic
-2.31,0.6335740460014674,0.4363692745222086,0.4236792572499256,0.8026355092393989,1,Pitch range,Prosodic
-2.306,0.6335757463648978,0.4363622942927733,0.4236843861988022,0.8026345022416015,1,Pitch range,Prosodic
-2.304,0.6335765965453654,0.43635880856136067,0.423686948581659,0.802634000102192,1,Pitch range,Prosodic
-2.303,0.6335770216352872,0.4363570667915112,0.42368822925017424,0.8026337493723713,1,Pitch range,Prosodic
-2.302,0.633577446725001,0.43635532575224467,0.42368950957007406,0.8026334988691446,1,Pitch range,Prosodic
-2.301,0.6335778718145071,0.4363535854435698,0.4236907895413536,0.8026332485925152,1,Pitch range,Prosodic
-2.3,0.6335782969038052,0.4363518458654953,0.4236920691640075,0.8026329985424863,1,Pitch range,Prosodic
-2.299,0.6335787219928952,0.43635010701803,0.4236933484380308,0.8026327487190614,1,Pitch range,Prosodic
-2.298,0.6335791470817773,0.4363483689011826,0.4236946273634185,0.8026324991222439,1,Pitch range,Prosodic
-2.294,0.6335808474352266,0.43634142374014634,0.4236997395785132,0.8026315030011147,1,Pitch range,Prosodic
-2.293,0.6335812725230688,0.43633968927651917,0.4237010167606475,0.8026312545373842,1,Pitch range,Prosodic
-2.289,0.6335829728723591,0.4363327587287999,0.4237061220024773,0.802630262948771,1,Pitch range,Prosodic
-2.288,0.6335833979591617,0.4363310279186109,0.42370739744123276,0.8026300156182116,1,Pitch range,Prosodic
-2.285,0.6335846732183222,0.436325839872361,0.4237112216653341,0.8026292749864118,1,Pitch range,Prosodic
-2.281,0.6335863735609579,0.4363189327077588,0.42371631574889673,0.8026282906505203,1,Pitch range,Prosodic
-2.28,0.633586798646097,0.4363172077435228,0.42371758839798523,0.8026280451332081,1,Pitch range,Prosodic
-2.277,0.6335880739002665,0.43631203723554846,0.42372140425284543,0.8026273099413099,1,Pitch range,Prosodic
-2.271,0.6335906244029906,0.43630171595168016,0.42372902654629263,0.8026258456779872,1,Pitch range,Prosodic
