age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-1.72,0.6244103700723435,0.4397550431925147,0.4125113059946283,0.797414840279983,1,Rate,Prosodic
-1.704,0.6247454015766879,0.4397375166893372,0.41286594599835796,0.7976400163798987,1,Rate,Prosodic
-1.702,0.624787272124394,0.4397353396362193,0.41291027582730194,0.7976681546073704,1,Rate,Prosodic
-1.698,0.6248710076202729,0.4397309947036702,0.41299893536166515,0.7977244252027768,1,Rate,Prosodic
-1.697,0.6248919403272771,0.43972991038175074,0.4130211002189132,0.7977384916307019,1,Rate,Prosodic
-1.691,0.6250175267615705,0.43972342050489877,0.413154089133098,0.7978228799399737,1,Rate,Prosodic
-1.687,0.625101241705428,0.4397191092109013,0.41324274818319245,0.7978791290406521,1,Rate,Prosodic
-1.686,0.6251221692725621,0.4397180332987748,0.4132649129165073,0.7978931900940031,1,Rate,Prosodic
-1.684,0.6251640230037592,0.4397158837682086,0.4133092423473569,0.7979213107342961,1,Rate,Prosodic
-1.682,0.6252058748637435,0.4397137372959288,0.41335357172980536,0.7979494294191608,1,Rate,Prosodic
-1.681,0.6252268000918614,0.4397126652066603,0.41337573640261865,0.7979634880282266,1,Rate,Prosodic
-1.679,0.6252686491440098,0.43971052332189403,0.41342006571090234,0.7979916037794627,1,Rate,Prosodic
-1.676,0.6253314192109991,0.43970731622925535,0.413486559578409,0.7980337737385927,1,Rate,Prosodic
-1.675,0.6253523416300624,0.43970624872760095,0.4135087241751829,0.7980478294134468,1,Rate,Prosodic
-1.674,0.6253732635807129,0.43970518199056835,0.413530888758919,0.7980618845991523,1,Rate,Prosodic
-1.671,0.6254360266215109,0.4397019863672575,0.41359738243085925,0.7981040472210527,1,Rate,Prosodic
-1.669,0.625477866305405,0.43969985977492815,0.4136417114783882,0.7981321531893162,1,Rate,Prosodic
-1.668,0.6254987854441576,0.43969879762574354,0.4136638759817108,0.7981462054394497,1,Rate,Prosodic
-1.666,0.6255406223149359,0.43969667562136194,0.4137082049469521,0.7981743084715587,1,Rate,Prosodic
-1.665,0.6255615400468264,0.4396956157661761,0.41373036940866265,0.7981883592534696,1,Rate,Prosodic
-1.663,0.6256033741032714,0.43969349834984195,0.4137746982897425,0.7982164593488418,1,Rate,Prosodic
-1.661,0.6256452062828181,0.4396913839922614,0.41381902711367397,0.798244557486066,1,Rate,Prosodic
-1.66,0.6256661216685856,0.4396903279605174,0.41384119150394894,0.798258605820292,1,Rate,Prosodic
-1.658,0.6257079510317705,0.4396882181911497,0.4138855202405963,0.798286701019809,1,Rate,Prosodic
-1.657,0.6257288650090529,0.4396871644535371,0.41390768458676086,0.7983007478850357,1,Rate,Prosodic
-1.655,0.6257706915546597,0.43968505927248147,0.41395201323425124,0.7983288401462638,1,Rate,Prosodic
-1.654,0.625791604122849,0.43968400782904965,0.413974177535369,0.7983428855422006,1,Rate,Prosodic
-1.653,0.6258125162212054,0.43968295715035566,0.41399634182126305,0.7983569304483095,1,Rate,Prosodic
-1.649,0.6258961599149515,0.4396787620830682,0.4140849988105213,0.7984131051738187,1,Rate,Prosodic
-1.648,0.6259170696631307,0.43967771522814586,0.4141071630187364,0.7984271476303032,1,Rate,Prosodic
-1.647,0.6259379789410717,0.4396766691379943,0.41412932721110357,0.7984411895967659,1,Rate,Prosodic
-1.646,0.6259588877487072,0.4396756238126189,0.41415149138751894,0.7984552310731744,1,Rate,Prosodic
-1.642,0.6260425182748438,0.4396714501589882,0.4142401479315811,0.7985113920776222,1,Rate,Prosodic
-1.641,0.6260634247299393,0.43967040865757545,0.414262312026677,0.7985254311032762,1,Rate,Prosodic
-1.64,0.6260843307143242,0.43966936792097167,0.41428447610519703,0.7985394696386824,1,Rate,Prosodic
-1.639,0.6261052362279311,0.4396683279491821,0.4143066401670371,0.7985535076838084,1,Rate,Prosodic
