effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),-0.5379558377948533,0.7887219308515919,-0.6820601998653903,0.4952008858236929
fixed,NA,scale(complexity_wordbank),-0.8146596709020263,0.5144656797174764,-1.5835063504127316,0.11330610039492418
fixed,NA,scale(age),-0.6928435542340483,0.7746143564520529,-0.8944367587085045,0.37108825237031834
fixed,NA,scale(rarity),0.12180915138755104,0.6020356848138817,0.2023287895720137,0.8396596945510415
fixed,NA,scale(rate),0.4797461071971674,0.6093907678294116,0.7872552925374545,0.43113243530528045
fixed,NA,scale(pitch_mean),-0.6204171566331614,0.5381597207483764,-1.1528494844809198,0.2489721692854685
fixed,NA,scale(pitch_range),0.3579059140537915,0.5058960148918512,0.707469328712351,0.4792748665278908
fixed,NA,scale(verbs),-0.19026388351947554,0.499192278993217,-0.38114348223334765,0.7030967839911983
fixed,NA,scale(num_tokens),0.5724776983663559,0.6134020154355129,0.9332830410736409,0.3506738489477818
fixed,NA,scale(complexity_wordbank):scale(age),-1.2002729166404216,0.6456402612896779,-1.859042858081457,0.06302106374471698
fixed,NA,scale(age):scale(rarity),0.45831240794801337,0.7515018816320282,0.6098619566363579,0.541953255392998
fixed,NA,scale(age):scale(rate),0.6466516736520527,0.7596333051509491,0.8512681964669184,0.39462038742271266
fixed,NA,scale(age):scale(pitch_mean),-0.6170911131035588,0.6545869277169141,-0.9427183571414507,0.34582498119990657
fixed,NA,scale(age):scale(pitch_range),0.48742708950285485,0.6373467839184337,0.7647753182437566,0.4444053474234421
fixed,NA,scale(age):scale(verbs),-0.13189789504084343,0.6613793371968879,-0.19942850890967337,0.8419275614725947
fixed,NA,scale(age):scale(num_tokens),0.7144123076143838,0.8041316792573205,0.888427015180151,0.3743110989735154
