word,aoa,babiness,pair
baa,16,5.6875,baa_sheep
bathroom,24,NA,potty_bathroom
bird,17,2.375,birdie_bird
bunny,21,2.8,bunny_rabbit
car,17,2.083333333,vroom_car
choo choo,19,8.454545455,choochoo_train
cockadoodledoo,25,2.916666667,cockadoodledoo_rooster
cow,20,2.2,moo_cow
daddy,16,9,daddy_dad
dog,16,3.1,puppy_dog
doll,22,7.133333333,dolly_doll
duck,17,4.1,quack_duck
high chair,26,NA,ids_only
horse,20,2,pony_horse
mommy,16,8.454545455,mommy_mom
moo,16,4.076923077,moo_cow
night night,18,NA,nightnight_goodnight
owie,19,7.5,owie_scrape
pattycake,25,NA,ids_only
peekaboo,19,8.545454545,ids_only
pig,21,1.416666667,piggy_pig
pony,28,3,pony_horse
potty,21,6.909090909,potty_bathroom
puppy,21,4.25,puppy_dog
quack,17,2.5,quack_duck
rooster,28,1.5,cockadoodledoo_rooster
sheep,23,3.4,baa_sheep
train,21,3.545454545,choochoo_train
truck,19,3.181818182,vroom_car
tummy,22,7.166666667,tummy_stomach
vroom,17,5.5,vroom_car
stomach,NA,NA,tummy_stomach
duckie,NA,NA,quack_duck
horsey,NA,NA,pony_horse
doggy,NA,NA,puppy_dog
oink,NA,NA,piggy_pig
cut,NA,NA,owie_scrape
boo boo,NA,NA,owie_scrape
goodnight,NA,NA,nightnight_goodnight
momma,NA,NA,mommy_mom
dolly,NA,NA,dolly_doll
birdie,NA,NA,birdie_bird
tweet,NA,NA,birdie_bird
toilet,NA,NA,potty_bathroom
bow wow,NA,NA,puppy_dog
woof,16,2.7,puppy_dog
kitty,18,4.1,kitty_cat
cat,18,2,kitty_cat
frog,22,2.909090909,froggy_frog
froggy,NA,NA,froggy_frog
ribbit,NA,NA,froggy_frog
footie,NA,NA,footie_foot
foot,21,NA,footie_foot
gobble,NA,NA,gobble_turkey
turkey,27,2.636363636,gobble_turkey
lollipop,27,5.181818182,lolly_lollipop
lolly,NA,NA,lolly_lollipop
blankie,NA,NA,blankie_blanket
blanket,21,8.916666667,blankie_blanket
itty bitty,NA,NA,ittybitty_small
teeny weeny,NA,NA,ittybitty_small
small,NA,NA,ittybitty_small
little,25,7.5,ittybitty_small
mom,NA,NA,mommy_mom
dad,NA,NA,daddy_dad
