word,age,known,not_known,prod_prop
a,16,37,1875,0.019351464435146442
a,17,12,534,0.02197802197802198
a,18,36,848,0.04072398190045249
a,19,38,618,0.057926829268292686
a,20,36,512,0.06569343065693431
a,21,39,367,0.0960591133004926
a,22,63,337,0.1575
a,23,89,435,0.16984732824427481
a,24,231,935,0.19811320754716982
a,25,154,512,0.23123123123123124
a,26,111,251,0.30662983425414364
a,27,136,254,0.3487179487179487
a,28,613,981,0.3845671267252196
a,29,156,240,0.3939393939393939
a,30,282,308,0.47796610169491527
a lot,16,3,953,0.0031380753138075313
a lot,17,2,271,0.007326007326007326
a lot,18,9,433,0.020361990950226245
a lot,19,12,316,0.036585365853658534
a lot,20,12,262,0.043795620437956206
a lot,21,10,193,0.04926108374384237
a lot,22,25,175,0.125
a lot,23,50,212,0.19083969465648856
a lot,24,107,476,0.1835334476843911
a lot,25,92,241,0.27627627627627627
a lot,26,58,123,0.32044198895027626
a lot,27,78,117,0.4
a lot,28,392,405,0.4918444165621079
a lot,29,96,102,0.48484848484848486
a lot,30,174,121,0.5898305084745763
about,16,2,954,0.0020920502092050207
about,17,0,273,0
about,18,0,442,0
about,19,3,325,0.009146341463414634
about,20,5,269,0.01824817518248175
about,21,4,199,0.019704433497536946
about,22,8,192,0.04
about,23,15,247,0.05725190839694656
about,24,33,550,0.05660377358490566
about,25,33,300,0.0990990990990991
about,26,24,157,0.13259668508287292
about,27,19,176,0.09743589743589744
about,28,186,611,0.23337515683814303
about,29,51,147,0.25757575757575757
about,30,90,205,0.3050847457627119
above,16,3,953,0.0031380753138075313
above,17,2,271,0.007326007326007326
above,18,3,439,0.006787330316742082
above,19,4,324,0.012195121951219513
above,20,9,265,0.032846715328467155
above,21,6,197,0.029556650246305417
above,22,10,190,0.05
above,23,18,244,0.06870229007633588
above,24,47,536,0.08061749571183534
above,25,45,288,0.13513513513513514
above,26,30,151,0.16574585635359115
above,27,37,158,0.18974358974358974
above,28,190,607,0.2383939774153074
above,29,51,147,0.25757575757575757
above,30,89,206,0.3016949152542373
after,16,2,954,0.0020920502092050207
after,17,1,272,0.003663003663003663
after,18,9,433,0.020361990950226245
after,19,8,320,0.024390243902439025
after,20,12,262,0.043795620437956206
after,21,12,191,0.059113300492610835
after,22,22,178,0.11
after,23,37,225,0.14122137404580154
after,24,108,475,0.18524871355060035
after,25,82,251,0.24624624624624625
after,26,60,121,0.3314917127071823
after,27,61,134,0.3128205128205128
after,28,377,420,0.4730238393977415
after,29,89,109,0.4494949494949495
