id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range,subset,filename
17322797,bathroom,NA,bæbu,bæθɹuːm,declarative,eng,NA,1,237,Providence,NA,CHI,Alex,Target_Child,29.2962894515288,male,560.501,561.575,s,Eng-NA,21,336,23471,23471,43234,29,bathroom,ADL,potty_bathroom,1,child,Alex,020509,272.77971202925,221.153573689935,398.652579151655,-177.49900546172,child-ADL,child-bathroom1
17595703,in the in the bath in the yyy bathroom with the door closed,in the in the bath in the with the door close,ɪn ə ɪn də bæθ ɪn də bəɡɪʊ bæθwʊm wɪ də do kloːzd,ɪn ðə ɪn ðə bæθ ɪn ðə * bæθɹuːm wɪθ ðə dɔɹ kloʊzd,imperative_emphatic,eng,12,13,275,Providence,prep det:art prep det:art n prep det:art prep det:art n v,CHI,Naima,Target_Child,34.5920860797963,female,841.486,847.226,s,Eng-NA,21,336,23510,23510,43468,35,bathroom,ADL,potty_bathroom,1,child,Naima,021018,305.340410021641,93.3433744348189,494.329349421274,-400.985974986455,child-ADL,child-bathroom2
2390368,but sometimes he go to the bathroom with his pants,but sometimes he go to the with his pants,NA,NA,declarative,eng,9,10,54,Braunwald,conj adv pro:sub v prep det:art prep det:poss n:pt,CHI,Laura,Target_Child,51.362450974352704,female,89.987,92.704,s,Eng-NA,2,70,3901,3901,8733,51,bathroom,ADL,potty_bathroom,1,child,Laura,040311b,293.601470593689,126.488996307243,377.0243055228,-250.535309215557,child-ADL,child-bathroom3
2342460,we we need bathroom dad,we need Dad,NA,NA,declarative,eng,3,5,136,Braunwald,pro:sub v n:prop,CHI,Laura,Target_Child,26.3947925008727,female,400.255,403.262,s,Eng-NA,2,70,3901,3901,8628,26,bathroom,ADL,potty_bathroom,1,child,Laura,020212a,352.336526437055,92.8382045710901,525.159426902334,-432.321222331244,child-ADL,child-bathroom4
2336890,have go the bathroom,have go the,NA,NA,declarative,eng,3,4,148,Braunwald,v v det:art,CHI,Laura,Target_Child,25.7890305755765,female,334.256,336.242,s,Eng-NA,2,70,3901,3901,8622,26,bathroom,ADL,potty_bathroom,1,child,Laura,020124,388.256795590531,76.4784556283435,496.270162895527,-419.791707267184,child-ADL,child-bathroom5
2345465,in the bathroom,in the,NA,NA,declarative,eng,2,3,266,Braunwald,prep det:art,CHI,Laura,Target_Child,27.0005544261689,female,599.524,601.138,s,Eng-NA,2,70,3901,3901,8641,27,bathroom,ADL,potty_bathroom,1,child,Laura,020300b,83.79766286837,79.3461666467776,90.0073424276584,-10.6611757808808,child-ADL,child-bathroom6
2345411,me have go bathroom,me have go,NA,NA,declarative,eng,3,4,261,Braunwald,pro:obj v v,CHI,Laura,Target_Child,27.0005544261689,female,593.243,595.368,s,Eng-NA,2,70,3901,3901,8641,27,bathroom,ADL,potty_bathroom,1,child,Laura,020300b,291.177389227614,78.7721232661817,403.840874297352,-325.06875103117,child-ADL,child-bathroom7
2345208,take me bathroom,take me,NA,NA,declarative,eng,2,3,241,Braunwald,v pro:obj,CHI,Laura,Target_Child,27.0005544261689,female,539.353,541.245,s,Eng-NA,2,70,3901,3901,8641,27,bathroom,ADL,potty_bathroom,1,child,Laura,020300b,359.251360452595,78.1253244513993,445.672348999712,-367.547024548313,child-ADL,child-bathroom8
2345203,take me bathroom,take me,NA,NA,declarative,eng,2,3,240,Braunwald,v pro:obj,CHI,Laura,Target_Child,27.0005544261689,female,536.578,538.888,s,Eng-NA,2,70,3901,3901,8641,27,bathroom,ADL,potty_bathroom,1,child,Laura,020300b,362.66630620373,82.43219357167,408.855864755615,-326.423671183945,child-ADL,child-bathroom9
17339994,bird,bird,b å,NA,declarative,eng,1,1,903,Providence,n,CHI,Ethan,Target_Child,13.5587999753588,male,1567.591,1569.906,s,Eng-NA,21,336,23487,23487,43265,14,bird,ADL,birdie_bird,1,child,Ethan,010117,454.579917464788,396.598290454342,480.277308936123,-83.6790184817804,child-ADL,child-bird1
