filename,transcription,word,speaker
child-blanket1,this really does hafta be my baby's blanket,blanket,child
child-blanket2,and gaby's blanket's called bati,blanket,child
child-blanket3,she has to go here get her blanket,blanket,child
child-blanket4,blanket,blanket,child
child-blanket5,uh blanket off,blanket,child
child-blanket6,this is how do you like a blanket,blanket,child
child-blanket7,can you get all the blankets the blankets,blanket,child
child-blanket8,but we needta take my baby's blanket out park,blanket,child
child-blanket9,me blanket,blanket,child
child-blanket10,i get me my blanket,blanket,child
child-blanket11,i don't want the blanket on,blanket,child
child-blanket12,he wants a blanket,blanket,child
child-blanket13,where's his blanket,blanket,child
child-blanket14,i want i want regular blanket,blanket,child
child-blanket15,is my old baby blanket is clean,blanket,child
child-blanket16,xxx blanket,blanket,child
child-blanket17,duck duck yyy blanket the duck is under the blanket,blanket,child
child-blanket18,blanket,blanket,child
child-blanket19,yyy duck blanket,blanket,child
child-blanket20,i put your blanket over,blanket,child
child-blanket21,blanket,blanket,child
child-blanket22,no my baby blanket is not wet,blanket,child
child-blanket23,emmy do find the bl blanket,blanket,child
child-blanket24,okay i get him his blanket,blanket,child
child-blanket25,yyy he wanted his blanket but where were my teddy bears,blanket,child
child-blanket26,hasta be a sharing blanket,blanket,child
child-blanket27,there i get the blanket to put h here,blanket,child
child-blanket28,blanket,blanket,child
child-blanket29,pull that blanket off,blanket,child
child-blanket30,no blankets,blanket,child
child-blanket31,yyy yyy the blanket on the ducks yyy want to put too many ducks on the bed,blanket,child
child-blanket32,blanket,blanket,child
child-blanket33,blanket,blanket,child
child-blanket34,georgie's covers blanket,blanket,child
child-blanket35,let's cover her up with a blue blanket,blanket,child
child-blanket36,well it really is for my baby it's a sharing blanket,blanket,child
child-blanket37,now emmy has a star blanket,blanket,child
child-blanket38,don't put the blanket that go out hh,blanket,child
child-blanket39,two blankets,blanket,child
child-blanket40,i don't want my blanket in,blanket,child
child-blanket41,i'm gonna move your blanket okay,blanket,child
child-blanket42,his blanket to go in the my stroller,blanket,child
