filename,transcription,word,speaker
child-dad1,dad,dad,child
child-dad2,dad,dad,child
child-dad3,taking a picture dad,dad,child
child-dad4,xxx is dad gonna stay with you,dad,child
child-dad5,dad xxx,dad,child
child-dad6,yyy what in that dad mommy talk about,dad,child
child-dad7,you need look but maybe i could take you to my hospital my dad's hospital,dad,child
child-dad8,dad,dad,child
child-dad9,look dad,dad,child
child-dad10,dad i'm trying to get a one,dad,child
child-dad11,dad two books,dad,child
child-dad12,it's dad,dad,child
child-dad13,dad,dad,child
child-dad14,his dad ask if if if she wants to get out,dad,child
child-dad15,dad,dad,child
child-dad16,i hafta make sure it's tight right dad,dad,child
child-dad17,you know who that is dad,dad,child
child-dad18,dad wants one,dad,child
child-dad19,dad,dad,child
child-dad20,dad,dad,child
child-dad21,mama dad can you stop the train,dad,child
child-dad22,my dad's in the boat in this boat,dad,child
child-dad23,because i always bring it out and my mom and dad put it back,dad,child
child-dad24,just listen dad,dad,child
child-dad25,i'll put dad,dad,child
child-dad26,yeah just like he's lilo's dad,dad,child
child-dad27,that's how me and my dad build it,dad,child
child-dad28,dad,dad,child
child-dad29,and and this is the dad,dad,child
child-dad30,my dad,dad,child
child-dad31,dad,dad,child
child-dad32,with my dad,dad,child
child-dad33,you're dad,dad,child
child-dad34,dad,dad,child
child-dad35,dad i was in i dad,dad,child
child-dad36,dad,dad,child
child-dad37,ya with dad,dad,child
child-dad38,dad,dad,child
child-dad39,no your dad james,dad,child
child-dad40,dad you're a shamy,dad,child
child-dad41,i can make my own snowman and my mom and dad will build a big snowman,dad,child
child-dad42,dad,dad,child
child-dad43,dad can i get up in my bed,dad,child
child-dad44,but for you and for me and you right dad,dad,child
child-dad45,dad,dad,child
child-dad46,dad soo and poo rhyme,dad,child
child-dad47,xxx here dad ball have this ball,dad,child
child-dad48,and dad do you know what,dad,child
child-dad49,can i have the car keys dad,dad,child
child-dad50,um did you come dad,dad,child
child-dad51,my why did you give me toast dad,dad,child
child-dad52,dad come on,dad,child
child-dad53,look dad,dad,child
child-dad54,dad after some when i come to the hard part you hafta help me okay,dad,child
child-dad55,dad,dad,child
child-dad56,dad,dad,child
child-dad57,xxx with you with mom and dad and jimmy,dad,child
child-dad58,dad,dad,child
child-dad59,that's why we love you dad,dad,child
child-dad60,dad,dad,child
child-dad61,dad,dad,child
child-dad62,red red dad,dad,child
child-dad63,here dad,dad,child
child-dad64,dad did,dad,child
child-dad65,what's dad doing,dad,child
child-dad66,do dad when do we eat dis,dad,child
child-dad67,calling dad,dad,child
child-dad68,dad,dad,child
child-dad69,help dad,dad,child
child-dad70,help me put the diapers on dad,dad,child
child-dad71,look dad,dad,child
child-dad72,my mom and dad put it back,dad,child
child-dad73,dad,dad,child
child-dad74,dad's coughing,dad,child
child-dad75,hey dad,dad,child
child-dad76,dad reads it,dad,child
child-dad77,dad i mean son don't go to sleep,dad,child
child-dad78,dad,dad,child
child-dad79,dad where are my play keys,dad,child
child-dad80,and their mommy's xxx and their dad with his hat,dad,child
