filename,transcription,word,speaker
child-duck1,duck,duck,child
child-duck2,i want bring duck down and have breakfast,duck,child
child-duck3,duck,duck,child
child-duck4,yyy duck,duck,child
child-duck5,two ducks,duck,child
child-duck6,duck,duck,child
child-duck7,duck,duck,child
child-duck8,can we peel that duck off,duck,child
child-duck9,duck,duck,child
child-duck10,duck,duck,child
child-duck11,those are ducks i think that's a mallard and i don't know what the other ducks are called,duck,child
child-duck12,xxx yyy stuck in yyy come to the duck,duck,child
child-duck13,ducks buddy buddy buddy buddy,duck,child
child-duck14,make him duck,duck,child
child-duck15,duck,duck,child
child-duck16,is it a duck,duck,child
child-duck17,duck,duck,child
child-duck18,duck duck,duck,child
child-duck19,or duck one,duck,child
child-duck20,i'm making thing for duck to eat to eat,duck,child
child-duck21,duck,duck,child
child-duck22,yyy duck blanket,duck,child
child-duck23,and a duck on your leg,duck,child
child-duck24,duck,duck,child
child-duck25,duck,duck,child
child-duck26,and he had a duck and a cat,duck,child
child-duck27,duck little house,duck,child
child-duck28,duck,duck,child
child-duck29,you're not a duck,duck,child
child-duck30,duck duck,duck,child
child-duck31,duck,duck,child
child-duck32,duck,duck,child
child-duck33,duck,duck,child
child-duck34,duck,duck,child
child-duck35,where'd duck go,duck,child
child-duck36,yeah to look at at the ducks,duck,child
child-duck37,duck,duck,child
child-duck38,duck food,duck,child
child-duck39,yyy duck,duck,child
child-duck40,ducks in the mill pond,duck,child
child-duck41,but the duck comes off,duck,child
child-duck42,what does duck see,duck,child
child-duck43,duck,duck,child
child-duck44,let's read the ducks,duck,child
child-duck45,the duck,duck,child
child-duck46,duck duck duck duck duck yyy yyy,duck,child
child-duck47,ducks go in the water,duck,child
child-duck48,duck,duck,child
child-duck49,yyy duck,duck,child
child-duck50,duck,duck,child
child-duck51,baby duck duck,duck,child
child-duck52,duck,duck,child
child-duck53,duck,duck,child
child-duck54,all the yellow ducks and all the white ducks,duck,child
child-duck55,duck un,duck,child
child-duck56,a duck,duck,child
child-duck57,says duck,duck,child
child-duck58,what's the duck going to do,duck,child
child-duck59,ducks in the mill pond ducks in the mill pond,duck,child
child-duck60,duck,duck,child
