filename,transcription,word
child-horse1,she rides the horse,horse
child-horse2,the daddy fell down now my horse now the baby fell down,horse
child-horse3,maybe the horse is sick,horse
child-horse4,horse mommy gonna ride a horse horse,horse
child-horse5,more horses,horse
child-horse6,my horse,horse
child-horse7,the horse is wet,horse
child-horse8,squeezing the horse,horse
child-horse9,horse can't stand up,horse
child-horse10,the little xxx horse's train,horse
child-horse11,the horsie wants a horse,horse
child-horse12,a horse,horse
child-horse13,brown horse,horse
child-horse14,yes he can st and stand your horse up,horse
child-horse15,little horse drinks some milk,horse
child-horse16,want ta see my big horse,horse
child-horse17,got a i got a horse too one in here,horse
child-horse18,little the little boy can ride on the little horse,horse
child-horse19,where's my horse,horse
child-horse20,xxx on the big horse,horse
child-horse21,a horse,horse
child-horse22,the horse is wet,horse
child-horse23,all the kings horses couldn't put humpty_dumpty back together again,horse
child-horse24,and on this farm he had a horse,horse
child-horse25,i like cat and dog and horse,horse
child-horse26,horses too,horse
child-horse27,this is the mommy horse,horse
child-horse28,rocking horse,horse
child-horse29,horse,horse
child-horse30,horses do,horse
child-horse31,yeah they get on the horse and the cow,horse
child-horse32,horse,horse
child-horse33,he wanna ride on the horse,horse
child-horse34,she goes right to horse,horse
child-horse35,and my horse stand this one little one,horse
child-horse36,can make it horse,horse
child-horse37,horse,horse
child-horse38,because there horse's train,horse
child-horse39,little horses,horse
child-horse40,this is another horse,horse
child-horse41,yeah i'm gonna come one my horse,horse
child-horse42,that's animal too he a horse,horse
child-horse43,another horse is this your horse,horse
child-horse44,another horse,horse
child-horse45,you start with this horse,horse
child-horse46,horse nursing horse,horse
child-horse47,yyy yyy xxx hungry horse,horse
child-horse48,on the horse,horse
child-horse49,horses can walk,horse
child-horse50,horses,horse
child-horse51,xxx he's petting the horse,horse
child-horse52,i think should get the baby horse to tell,horse
child-horse53,horses can walk,horse
child-horse54,ride on the horse,horse
child-horse55,okay on my turn my goes on the horse,horse
child-horse56,yeah you can ride your horse,horse
child-horse57,a apple b ball c cat d dog e eye f flower g giraffe h horse i bug j,horse
child-horse58,a big horse,horse
child-horse59,horse,horse
child-horse60,nay nay nay the horses eat hay,horse
child-horse61,this is a horse,horse
child-horse62,the horse,horse
child-horse63,ah you can have the horse and this doggie,horse
child-horse64,that's a big horse,horse
child-horse65,horse,horse
child-horse66,horse,horse
