filename,transcription,word,speaker
child-mom1,clip clip mom clip,mom,child
child-mom2,mom,mom,child
child-mom3,my mom and dad are just going to watch my the footrace,mom,child
child-mom4,mm well my mom grounded me for three days,mom,child
child-mom5,mom,mom,child
child-mom6,but every time i ask for them my mom gives me cherrios then milk,mom,child
child-mom7,hi mom,mom,child
child-mom8,i sit on the chair right mom,mom,child
child-mom9,mom here you go,mom,child
child-mom10,mom,mom,child
child-mom11,and mom,mom,child
child-mom12,mom play this,mom,child
child-mom13,mom,mom,child
child-mom14,mom what's that,mom,child
child-mom15,mom xxx,mom,child
child-mom16,mom come in the lake,mom,child
child-mom17,look mom,mom,child
child-mom18,mom,mom,child
child-mom19,he's going he going to work mom,mom,child
child-mom20,mom,mom,child
child-mom21,jumpin' on the mom,mom,child
child-mom22,mommy mommy mommy me mom,mom,child
child-mom23,mom,mom,child
child-mom24,thanks mom,mom,child
child-mom25,mom could i try you,mom,child
child-mom26,wait till i show mom these,mom,child
child-mom27,mom look what she did again,mom,child
child-mom28,mom look yyy,mom,child
child-mom29,mom,mom,child
child-mom30,mom i'm xxx,mom,child
child-mom31,mom,mom,child
child-mom32,hi mom i wanna read a book,mom,child
child-mom33,but mom i don't feel well,mom,child
child-mom34,mom round one and a square was,mom,child
child-mom35,mom,mom,child
child-mom36,mom,mom,child
child-mom37,ow mom,mom,child
child-mom38,mommy mom xxx,mom,child
child-mom39,mom,mom,child
child-mom40,let's go mom,mom,child
child-mom41,mom yyy goes here,mom,child
child-mom42,mom,mom,child
child-mom43,i think that the mom that the mommy's arthur,mom,child
child-mom44,mom,mom,child
child-mom45,mom what's this,mom,child
child-mom46,mom,mom,child
child-mom47,i want more mom,mom,child
child-mom48,alright mom,mom,child
child-mom49,a monkey mom,mom,child
child-mom50,yyy yyy mom look there's your magazine,mom,child
child-mom51,the mom's milk for him,mom,child
child-mom52,it's a mommy mom,mom,child
child-mom53,mom are,mom,child
child-mom54,hi mom,mom,child
child-mom55,xxx for sugar mom,mom,child
child-mom56,i'm baby mom,mom,child
child-mom57,mom,mom,child
child-mom58,this is come off mom,mom,child
child-mom59,the sticky oatmeal mom,mom,child
child-mom60,look they weren't on the wrong feet mom,mom,child
child-mom61,yyy mom,mom,child
child-mom62,what kind of house mom,mom,child
child-mom63,look mom i got it,mom,child
child-mom64,mom where's pheobe,mom,child
child-mom65,can you give me more money mom,mom,child
child-mom66,please xxx mom,mom,child
child-mom67,thanks mom,mom,child
child-mom68,mom,mom,child
child-mom69,byebye mom,mom,child
child-mom70,what is mom doing with the orange orange juice,mom,child
child-mom71,ooh so hot mom,mom,child
child-mom72,mom do it again,mom,child
child-mom73,how about mom and dad,mom,child
child-mom74,mom,mom,child
child-mom75,mom,mom,child
child-mom76,i'm gonna ask daddy mom,mom,child
child-mom77,mom,mom,child
child-mom78,mom i'm in the,mom,child
child-mom79,mom,mom,child
child-mom80,mom,mom,child
child-mom81,mom,mom,child
child-mom82,mom i think sally smells the smoke,mom,child
child-mom83,mom,mom,child
child-mom84,mom will write a letter and i writed a letter,mom,child
child-mom85,mom,mom,child
child-mom86,xxx hey mom look,mom,child
child-mom87,no mom,mom,child
child-mom88,xxx mom i want some peanuts,mom,child
child-mom89,yyy yyy mom yyy read that the third bird,mom,child
child-mom90,i want that mom no don't don't go yet,mom,child
child-mom91,get corny mom,mom,child
child-mom92,what mom,mom,child
child-mom93,mom my cake,mom,child
child-mom94,mom,mom,child
child-mom95,bye mom,mom,child
child-mom96,mom,mom,child
child-mom97,let go mom,mom,child
child-mom98,you wanna see mom,mom,child
child-mom99,how about my mom,mom,child
child-mom100,mom i want eggy,mom,child
child-mom101,no mom,mom,child
child-mom102,mom,mom,child
child-mom103,orange mom,mom,child
child-mom104,oh he has a dirty face mom,mom,child
child-mom105,oh no mom,mom,child
child-mom106,mom are you done for the spraying,mom,child
child-mom107,yyy mom,mom,child
child-mom108,mom,mom,child
child-mom109,mom my gigi,mom,child
child-mom110,what mom,mom,child
child-mom111,mom,mom,child
child-mom112,mom watch i make a big circle,mom,child
child-mom113,mom i spilled,mom,child
child-mom114,how about mom and dad,mom,child
child-mom115,mom xxx,mom,child
child-mom116,oh mom,mom,child
child-mom117,just squeeze it mom,mom,child
child-mom118,i think this is a bone mom,mom,child
child-mom119,mom i wanna go in there,mom,child
child-mom120,mom i know whose children these are,mom,child
child-mom121,this is string mom,mom,child
child-mom122,mom no yyy this page,mom,child
child-mom123,okay mom,mom,child
child-mom124,mom,mom,child
child-mom125,grace did it for mom and me,mom,child
child-mom126,mom where's the bone,mom,child
child-mom127,i'm sorry mom,mom,child
child-mom128,that's all i hafta say mom,mom,child
child-mom129,i don't care if my mom doesn't come or not,mom,child
child-mom130,mom what's that thing,mom,child
child-mom131,mom,mom,child
child-mom132,okay mom,mom,child
child-mom133,watch mom,mom,child
child-mom134,what's that mom,mom,child
child-mom135,why's mom checking the penne,mom,child
child-mom136,mom,mom,child
child-mom137,mom,mom,child
child-mom138,mom,mom,child
child-mom139,yyy mom,mom,child
child-mom140,mom,mom,child
child-mom141,mom,mom,child
child-mom142,xxx mom,mom,child
child-mom143,mom,mom,child
child-mom144,hey mom xxx,mom,child
child-mom145,mom blowing on it,mom,child
child-mom146,all clean mom,mom,child
child-mom147,hi mom,mom,child
child-mom148,mom,mom,child
child-mom149,mom you can use this,mom,child
child-mom150,mom's xxx,mom,child
child-mom151,mom take the car apart,mom,child
child-mom152,mom mom,mom,child
child-mom153,mom look,mom,child
child-mom154,mom's don't know better,mom,child
child-mom155,mom yyy find his body,mom,child
child-mom156,oh mom mom momma,mom,child
child-mom157,mom yyy do this yyy fall down,mom,child
child-mom158,um mom,mom,child
child-mom159,oh no yyy mom yyy,mom,child
child-mom160,mom i want bubbles,mom,child
child-mom161,oh yyy mom,mom,child
child-mom162,mom can you read this,mom,child
child-mom163,can i come with you mom,mom,child
child-mom164,look mom look,mom,child
child-mom165,hey mom here's a big one,mom,child
child-mom166,it's not cold in here mom,mom,child
child-mom167,mom mom,mom,child
child-mom168,my mom and dad gave it,mom,child
child-mom169,mom,mom,child
child-mom170,mom yyy,mom,child
child-mom171,mom watch watch this xxx,mom,child
child-mom172,oopsie mom,mom,child
child-mom173,mom watch this watch this,mom,child
child-mom174,mom,mom,child
child-mom175,mom,mom,child
child-mom176,xxx mom,mom,child
child-mom177,mom,mom,child
child-mom178,mom i want some,mom,child
child-mom179,mom,mom,child
child-mom180,mom,mom,child
child-mom181,mom are you making a new string,mom,child
child-mom182,go to their mom,mom,child
child-mom183,mom,mom,child
child-mom184,the dog is sniffing you mom,mom,child
child-mom185,mom i dropped my clip,mom,child
child-mom186,mom,mom,child
child-mom187,mom i'm full,mom,child
child-mom188,it's great nice to mom,mom,child
child-mom189,mom,mom,child
child-mom190,yyy yyy mom,mom,child
child-mom191,yyy watch mom,mom,child
child-mom192,mom,mom,child
child-mom193,mom,mom,child
child-mom194,mom is there another one in there,mom,child
child-mom195,mom,mom,child
child-mom196,ah with mom mommy,mom,child
child-mom197,mom can you put that away,mom,child
child-mom198,mom you put it on the bench and then you jump it up,mom,child
child-mom199,mom can you read this,mom,child
child-mom200,can you come with me mom,mom,child
child-mom201,where mom,mom,child
child-mom202,mom why were you talking to xxx,mom,child
child-mom203,mom look,mom,child
child-mom204,those are little mom,mom,child
child-mom205,yyy yyy mom,mom,child
child-mom206,they're somewhere but he's living with the mom and dad,mom,child
child-mom207,mom there're no schoolbus,mom,child
child-mom208,mom this,mom,child
child-mom209,mom mom,mom,child
child-mom210,mom yyy,mom,child
child-mom211,mom why don't you get me some of these,mom,child
child-mom212,mom,mom,child
child-mom213,mom,mom,child
child-mom214,mom,mom,child
child-mom215,i got yyy mom,mom,child
child-mom216,it's eleven thirty mom,mom,child
child-mom217,mom,mom,child
child-mom218,hi mom,mom,child
child-mom219,gavin's mom ann,mom,child
child-mom220,mom i think you can't fix it,mom,child
child-mom221,mom straighten my thing,mom,child
child-mom222,because mom,mom,child
child-mom223,mom can you yyy yyy the top,mom,child
child-mom224,mom do you need anything else,mom,child
child-mom225,can you draw mom can you draw this,mom,child
child-mom226,look mom i did it yyy yyy orange one two three four five six seven eight nine,mom,child
child-mom227,mom in this book i want you to read the mom i want you,mom,child
