filename,transcription,word,speaker
child-rabbit1,rabbit drugs,rabbit,child
child-rabbit2,bunny rabbit,rabbit,child
child-rabbit3,saw a rabbit,rabbit,child
child-rabbit4,bunny rabbit on cover,rabbit,child
child-rabbit5,he yyy he was so tired yyy from chasing the rabbit,rabbit,child
child-rabbit6,green rabbit,rabbit,child
child-rabbit7,is it true that yyy that the rabbits came,rabbit,child
child-rabbit8,and dis is de other rabbit too,rabbit,child
child-rabbit9,dis is de other rabbit too,rabbit,child
child-rabbit10,bunny rabbit,rabbit,child
child-rabbit11,bunny rabbit,rabbit,child
child-rabbit12,all de rabbits,rabbit,child
child-rabbit13,um i have rabbit cocoa,rabbit,child
child-rabbit14,nga rabbits,rabbit,child
child-rabbit15,rabbits,rabbit,child
child-rabbit16,rabbit,rabbit,child
child-rabbit17,rabbit rabbit,rabbit,child
child-rabbit18,xxx that bowl yyy bunny rabbit xxx,rabbit,child
child-rabbit19,rabbit right there this,rabbit,child
child-rabbit20,green rabbit,rabbit,child
child-rabbit21,yyy rabbits,rabbit,child
child-rabbit22,what's that rabbit doing,rabbit,child
child-rabbit23,dis rabbit,rabbit,child
child-rabbit24,rabbits rabbits,rabbit,child
child-rabbit25,rabbit,rabbit,child
child-rabbit26,when we be rabbit rabbit rabbit rabbit,rabbit,child
child-rabbit27,who could hop xxx be a rabbit,rabbit,child
child-rabbit28,for bunny rabbit,rabbit,child
child-rabbit29,but the rabbit is right here,rabbit,child
child-rabbit30,want see the rabbit,rabbit,child
child-rabbit31,rabbit,rabbit,child
child-rabbit32,zoom went the rabbit through the zinnias xxx,rabbit,child
child-rabbit33,look what's that bunny rabbit doing,rabbit,child
