filename,transcription,word,speaker
child-birdie1,birdy birdy,birdie,child
child-birdie2,birdie have a baby,birdie,child
child-birdie3,flicker birdie,birdie,child
child-birdie4,birdies,birdie,child
child-birdie5,what's birdie bus,birdie,child
child-birdie6,birdies,birdie,child
child-birdie7,birdie xxx book,birdie,child
child-birdie8,i have birdy have a birdy make tweet tweet,birdie,child
child-birdie9,birdie,birdie,child
child-birdie10,birdie's xxx,birdie,child
child-birdie11,yyy a birdie,birdie,child
child-birdie12,see birdie,birdie,child
child-birdie13,birdie,birdie,child
child-birdie14,a cardinal birdy,birdie,child
child-birdie15,birdie,birdie,child
child-birdie16,my birdie,birdie,child
child-birdie17,birdies,birdie,child
child-birdie18,and then the big and then the big birdy wants to go the little tree,birdie,child
child-birdie19,look at the birdie,birdie,child
child-birdie20,birdie,birdie,child
