filename,transcription,word,speaker
child-bunny1,no the bunny,bunny,child
child-bunny2,yep i'm a kangaroo bunny,bunny,child
child-bunny3,um bunny,bunny,child
child-bunny4,bunny lady coming,bunny,child
child-bunny5,bunny rabbit,bunny,child
child-bunny6,bunny,bunny,child
child-bunny7,i think what there was a brown bunny,bunny,child
child-bunny8,bunny rabbit,bunny,child
child-bunny9,the bunny,bunny,child
child-bunny10,the bunny can't go because,bunny,child
child-bunny11,she drew a bunny rabbit,bunny,child
child-bunny12,bunny rabbit,bunny,child
child-bunny13,see that bunny,bunny,child
child-bunny14,bunny,bunny,child
child-bunny15,that's a bunny rabbit,bunny,child
child-bunny16,i think it was a cookie bunny,bunny,child
child-bunny17,bunny,bunny,child
child-bunny18,bunny rabbits,bunny,child
child-bunny19,yyy the white bunny rabbit,bunny,child
child-bunny20,that's a bunny,bunny,child
child-bunny21,bunny,bunny,child
child-bunny22,bunny house,bunny,child
child-bunny23,a bunny,bunny,child
child-bunny24,bunny,bunny,child
child-bunny25,broccoli stew for the bunny,bunny,child
child-bunny26,bunny,bunny,child
child-bunny27,bunny,bunny,child
child-bunny28,feel bunny,bunny,child
child-bunny29,xxx easter bunny,bunny,child
child-bunny30,it was a cookie bunny,bunny,child
child-bunny31,what was the yyy bunny rabbit's name,bunny,child
child-bunny32,bunny not there,bunny,child
child-bunny33,bunny,bunny,child
child-bunny34,bunny,bunny,child
child-bunny35,i'm gonna get bunny,bunny,child
child-bunny36,bunny,bunny,child
