filename,transcription,word
child-daddy1,daddy not here,daddy
child-daddy2,a daddy,daddy
child-daddy3,daddy,daddy
child-daddy4,one day charlotte's daddy and char and mommy all fall this go up,daddy
child-daddy5,daddy had a pink purse,daddy
child-daddy6,my daddy's gonna have a birthday soon,daddy
child-daddy7,give daddy,daddy
child-daddy8,daddy soon,daddy
child-daddy9,daddy eating,daddy
child-daddy10,daddy,daddy
child-daddy11,this is a mommy yyy daddy,daddy
child-daddy12,tool box xxx tool tool tool tool daddy,daddy
child-daddy13,in yyy boston daddy work in boston,daddy
child-daddy14,i'm going to get a sticker for you daddy,daddy
child-daddy15,mommy daddy this cracked,daddy
child-daddy16,daddy,daddy
child-daddy17,bye daddy,daddy
child-daddy18,the daddy put the duck in here,daddy
child-daddy19,thanks daddy,daddy
child-daddy20,daddy,daddy
child-daddy21,i want daddy,daddy
child-daddy22,these are for mommy and daddy and grandma and grandpa and mommy and daddy,daddy
child-daddy23,okay daddy,daddy
child-daddy24,daddy,daddy
child-daddy25,daddy blow on it,daddy
child-daddy26,eating waffles daddy,daddy
child-daddy27,a daddy,daddy
child-daddy28,there's their mommy and daddies right there,daddy
child-daddy29,xxx xxx uh um daddy,daddy
child-daddy30,daddy and doll girl yyy shoes on,daddy
child-daddy31,hot daddy blowing on it,daddy
child-daddy32,xxx daddy,daddy
child-daddy33,i'm gonna make a picture for daddy,daddy
child-daddy34,yyy daddy to get it,daddy
child-daddy35,and daddy broke the rules and brought me,daddy
child-daddy36,to plant them in the vegetable garden with daddy,daddy
child-daddy37,peekaboo daddy,daddy
child-daddy38,daddy,daddy
child-daddy39,where's de monkeys daddy,daddy
child-daddy40,xxx yyy to daddy,daddy
child-daddy41,daddy love them,daddy
child-daddy42,wanna go daddy,daddy
child-daddy43,no daddy's supposed to forget your bag,daddy
child-daddy44,the daddy did poopies,daddy
child-daddy45,eh want daddy a turn de page,daddy
child-daddy46,daddy has the pickle fork,daddy
child-daddy47,daddy gets milk,daddy
child-daddy48,he's a looking daddy xxx,daddy
child-daddy49,yyy dady daddy,daddy
child-daddy50,sometimes mormor daddy and then baby sick,daddy
child-daddy51,thankyou daddy,daddy
child-daddy52,what is daddy doin,daddy
child-daddy53,daddy yyy,daddy
child-daddy54,and the daddy says be xxx from the doctor's office,daddy
child-daddy55,red bye daddy,daddy
child-daddy56,daddy is,daddy
child-daddy57,xxx daddy,daddy
child-daddy58,nursie daddy,daddy
child-daddy59,yyy daddy,daddy
child-daddy60,daddy i need sugar,daddy
child-daddy61,i'm daddy bear,daddy
child-daddy62,mommy yyy carry in to daddy,daddy
child-daddy63,daddy,daddy
child-daddy64,that's daddy's,daddy
child-daddy65,daddy,daddy
child-daddy66,daddy picture daddy,daddy
child-daddy67,daddy,daddy
child-daddy68,with you you and mommy and dad you and daddy,daddy
child-daddy69,it's the daddy,daddy
child-daddy70,oh no daddy,daddy
child-daddy71,daddy puppy daddy puppy,daddy
child-daddy72,where's daddy going,daddy
child-daddy73,daddy you're making em fall out,daddy
child-daddy74,daddy all xxx,daddy
child-daddy75,xxx daddy put it back,daddy
child-daddy76,daddy's in the back,daddy
child-daddy77,daddy,daddy
child-daddy78,yyy yyy and daddy went on his,daddy
child-daddy79,daddy,daddy
child-daddy80,see daddies,daddy
child-daddy81,daddy,daddy
child-daddy82,draw my mommy and daddy,daddy
child-daddy83,no i want daddy,daddy
child-daddy84,a silly daddy yyy,daddy
child-daddy85,daddy can't help me i'm gonna do it by myself,daddy
child-daddy86,daddy,daddy
child-daddy87,i can't not eat one there daddy,daddy
child-daddy88,where's daddy,daddy
child-daddy89,daddy daddy,daddy
child-daddy90,that's a daddy,daddy
child-daddy91,what is allakazoo mommy and daddy,daddy
child-daddy92,daddy,daddy
child-daddy93,thankyou daddy,daddy
child-daddy94,that's a daddy read that,daddy
child-daddy95,where's my daddy,daddy
child-daddy96,daddy,daddy
child-daddy97,teeth daddy's teeth,daddy
child-daddy98,daddy,daddy
child-daddy99,daddy's guitar,daddy
child-daddy100,daddy don't don't you ah think i gotta buy anything,daddy
child-daddy101,daddy likes um some too,daddy
child-daddy102,these are daddy's,daddy
child-daddy103,daddy going lie lie down,daddy
child-daddy104,daddy hi yep goes in there,daddy
child-daddy105,daddy sit down,daddy
child-daddy106,aw daddy i need you come pick up,daddy
child-daddy107,my mommy and daddy will be here any second,daddy
child-daddy108,xxx daddy,daddy
child-daddy109,daddy,daddy
child-daddy110,daddy,daddy
child-daddy111,good daddy,daddy
child-daddy112,daddy blowing,daddy
child-daddy113,play with mommy daddy,daddy
child-daddy114,a elbow daddy,daddy
child-daddy115,daddy cook for daddy,daddy
