filename,transcription,word
child-doggy1,she wants to rest in her doggie,doggy
child-doggy2,doggie,doggy
child-doggy3,doggy wee,doggy
child-doggy4,look what look what my doggy done,doggy
child-doggy5,doggy,doggy
child-doggy6,doggie,doggy
child-doggy7,doggie,doggy
child-doggy8,doggies,doggy
child-doggy9,doggy,doggy
child-doggy10,doggie,doggy
child-doggy11,doggy puppet,doggy
child-doggy12,doggie,doggy
child-doggy13,doggie,doggy
child-doggy14,doggie what you doing doggie,doggy
child-doggy15,doggie woof woof woof,doggy
child-doggy16,this is doggie,doggy
child-doggy17,doggie,doggy
child-doggy18,doggy silly hat,doggy
child-doggy19,doggie,doggy
child-doggy20,doggy,doggy
child-doggy21,get the sponge sponge to wipe the my doggie,doggy
child-doggy22,marky's gonna be a doggie,doggy
child-doggy23,doggy,doggy
child-doggy24,huh where's the doggie,doggy
child-doggy25,no a doggie,doggy
child-doggy26,and doggie,doggy
child-doggy27,doggie,doggy
child-doggy28,here it doggie boo_boo,doggy
child-doggy29,doggie,doggy
child-doggy30,doggies,doggy
child-doggy31,where's this doggie,doggy
child-doggy32,doggie,doggy
child-doggy33,xxx doggy a little doggy,doggy
child-doggy34,doggie up and back,doggy
child-doggy35,a doggie,doggy
child-doggy36,and the doggy 's running a he 's running away,doggy
child-doggy37,doggy doggy doggie_woggie doggie_woggie person name person name,doggy
child-doggy38,their that's their doggie,doggy
child-doggy39,xxx xxx xxx doggie,doggy
child-doggy40,doggie,doggy
child-doggy41,it's a doggy xxx,doggy
child-doggy42,chase chase doggie,doggy
child-doggy43,doggie doggie,doggy
child-doggy44,yyy yyy doggy,doggy
child-doggy45,see doggie,doggy
child-doggy46,doggie,doggy
child-doggy47,and the doggy is running out,doggy
child-doggy48,i think the doggy puppet did,doggy
child-doggy49,doggy sitting there,doggy
child-doggy50,doggy,doggy
child-doggy51,that's a doggy,doggy
child-doggy52,doggie,doggy
child-doggy53,where's the doggie in it,doggy
child-doggy54,doggie,doggy
child-doggy55,i know where some some wool is horse doggie,doggy
child-doggy56,doggie,doggy
child-doggy57,i got the doggie,doggy
child-doggy58,doggie,doggy
child-doggy59,doggy,doggy
child-doggy60,doggie,doggy
child-doggy61,a doggie,doggy
child-doggy62,doggie,doggy
child-doggy63,yyy why doggy bark,doggy
child-doggy64,back in the doggie stuck,doggy
child-doggy65,dog doggie,doggy
child-doggy66,doggy,doggy
child-doggy67,doggie,doggy
child-doggy68,and a rocker and a chair and a doggie named skipper,doggy
child-doggy69,there's a doggie,doggy
child-doggy70,doggie,doggy
child-doggy71,where is your doggie,doggy
child-doggy72,like the other doggie dave had,doggy
child-doggy73,doggies,doggy
child-doggy74,black doggy,doggy
child-doggy75,xxx a doggie go,doggy
child-doggy76,doggie,doggy
child-doggy77,doggy making the,doggy
child-doggy78,a doggie,doggy
child-doggy79,and and the doggy 's creeping looking into that hole,doggy
child-doggy80,doggie,doggy
