filename,transcription,word,speaker
other-bathroom1,if i hafta go to the bathroom i won't go,bathroom,other
other-bathroom2,she must have gone into the bathroom to sit on her potty,bathroom,other
other-bathroom3,you go to the bathroom on the potty right,bathroom,other
other-bathroom4,she took it out of the bathroom,bathroom,other
other-bathroom5,in the bathroom we go,bathroom,other
other-bathroom6,that medicine makes me hafta go to the bathroom,bathroom,other
other-bathroom7,oh and the the vegetables did they come back from the bathroom,bathroom,other
other-bathroom8,why didn't you just go to the bathroom,bathroom,other
other-bathroom9,and the father's in the bathroom combing his hair,bathroom,other
other-bathroom10,let's come back to the bathroom,bathroom,other
other-bathroom11,you want to see the bathroom light,bathroom,other
other-bathroom12,why don't you go in the bathroom i think daddy's probably ready for you,bathroom,other
other-bathroom13,i'll go i'm gonna go find the bathroom and i'm gonna use it and i'll be right back okay,bathroom,other
other-bathroom14,he'll be in the bathroom all night,bathroom,other
other-bathroom15,is puppy going to the bathroom,bathroom,other
other-bathroom16,tallulah runs up to the bathroom and takes off her clothes,bathroom,other
other-bathroom17,to the bathroom,bathroom,other
other-bathroom18,or maybe you can can you lay the bathroom rug for me,bathroom,other
other-bathroom19,are they in the bathroom,bathroom,other
other-bathroom20,bathroom,bathroom,other
other-bathroom21,go anytime anyway for you to go bathroom,bathroom,other
other-bathroom22,um but i think i've stepped off cause usually she'll tell me when she hasta use the bathroom or something beforehand but then i realize she was doing it and i you know she didn't say it,bathroom,other
other-bathroom23,good morning i think you needta go to the bathroom first and put on slippers my friend,bathroom,other
other-bathroom24,okay this goes in the bathroom,bathroom,other
other-bathroom25,hey how you doing in the bathroom,bathroom,other
