filename,transcription,word,speaker
other-blanket1,get off the blanket,blanket,other
other-blanket2,you want daddy to put a blanket on you,blanket,other
other-blanket3,the blanket is over the piggie right,blanket,other
other-blanket4,okay dad will put a blanket on good,blanket,other
other-blanket5,pooh is snuggled into his fuzzy blanket sweet dreams pooh,blanket,other
other-blanket6,this your blanket,blanket,other
other-blanket7,i want you to be covered with your blanket,blanket,other
other-blanket8,blanket,blanket,other
other-blanket9,hearts on the blanket,blanket,other
other-blanket10,blanket,blanket,other
other-blanket11,sam put the blanket on his head,blanket,other
other-blanket12,xxx blanket,blanket,other
other-blanket13,that's his soft blanket,blanket,other
other-blanket14,you wanna lie down and have dad put a blanket on you,blanket,other
other-blanket15,that blanket does not smell very good,blanket,other
other-blanket16,would you like to wait for daddy to just to walk out or do you wanna put your head down here so daddy can put your blanket on you,blanket,other
other-blanket17,okay i could put this blanket over you and this one that'll be fine,blanket,other
other-blanket18,does your blanket have a name,blanket,other
other-blanket19,and wash my pink blanket,blanket,other
other-blanket20,i'd like to make a blanket out of your wool actually,blanket,other
other-blanket21,you let me share your blanket with you,blanket,other
other-blanket22,blanket,blanket,other
other-blanket23,okay blanket,blanket,other
other-blanket24,there's those blankets,blanket,other
other-blanket25,let's put this blanket out and you can sit here,blanket,other
other-blanket26,i would not put that blanket over my head,blanket,other
other-blanket27,where's a blanket,blanket,other
other-blanket28,you wanna put panacka in a blanket too,blanket,other
other-blanket29,or daddy can leave and put a blanket on you,blanket,other
other-blanket30,everybody hasta have a blanket,blanket,other
other-blanket31,blanket,blanket,other
other-blanket32,blanket,blanket,other
other-blanket33,i don't think you need any blanket,blanket,other
other-blanket34,you lie down and i'll put a blanket on okay,blanket,other
other-blanket35,yeah and wha does that baby have on his blanket,blanket,other
other-blanket36,here's a blanket for you nomi,blanket,other
other-blanket37,there's a white blanket in here somewhere,blanket,other
other-blanket38,and your baby can have a white blanket like my baby's have white blankets,blanket,other
other-blanket39,blanket sweetie,blanket,other
other-blanket40,one baby has a pink blanket in your family,blanket,other
other-blanket41,or go get her blanket or whatever,blanket,other
other-blanket42,she needs a a blanket,blanket,other
other-blanket43,you gonna put it in your blanket,blanket,other
other-blanket44,a share blanket,blanket,other
other-blanket45,it's the extra blanket,blanket,other
other-blanket46,that's ple that's plenty for a chicken blanket,blanket,other
other-blanket47,i didn't give you your bonus blanket you're right,blanket,other
other-blanket48,you were using it yesterday as a blanket for your baby,blanket,other
other-blanket49,blanket,blanket,other
other-blanket50,we'll use blankets or towels or,blanket,other
other-blanket51,when it was time for bed honey bunny's fuzzy bunny blanket was soft and warm,blanket,other
other-blanket52,does he have little beads on his blanket,blanket,other
other-blanket53,blanket,blanket,other
other-blanket54,blanket thing,blanket,other
other-blanket55,but she also has a blue blanket on her back,blanket,other
other-blanket56,blanket on now,blanket,other
other-blanket57,here's a uh here's another nice blanket,blanket,other
other-blanket58,he likes to get put blankets around him you know blankets and tuck in ryan,blanket,other
other-blanket59,blanket,blanket,other
other-blanket60,sam shook the blanket off his head,blanket,other
other-blanket61,blanket,blanket,other
other-blanket62,here's your bear blanket,blanket,other
