filename,transcription,word,speaker
other-duck1,if only mama duck were here,duck,other
other-duck2,the ducks,duck,other
other-duck3,hey did uncle take you to see chickens and ducks today,duck,other
other-duck4,is that a duck,duck,other
other-duck5,duck,duck,other
other-duck6,a yellow duck,duck,other
other-duck7,following their maiden duck splish splash quack,duck,other
other-duck8,is that a duck,duck,other
other-duck9,how about the duck,duck,other
other-duck10,is that a duck,duck,other
other-duck11,how about the duck,duck,other
other-duck12,follow their mommy ducks,duck,other
other-duck13,say duck,duck,other
other-duck14,duck duck duck,duck,other
other-duck15,duck,duck,other
other-duck16,duck,duck,other
other-duck17,duck,duck,other
other-duck18,you like the duck,duck,other
other-duck19,forget it forget that duck,duck,other
other-duck20,we think she recognizes the duck,duck,other
other-duck21,duck,duck,other
other-duck22,okay you're gonna press the duck,duck,other
other-duck23,what do ducks eat,duck,other
other-duck24,wanna play with this duck,duck,other
other-duck25,it's a duck,duck,other
other-duck26,duck,duck,other
other-duck27,donald duck,duck,other
other-duck28,he's drawing a duck,duck,other
other-duck29,you'll hafta find your rubber duck,duck,other
other-duck30,mother duck said quack quack quack quack,duck,other
other-duck31,duck,duck,other
other-duck32,the duck stays stuck deep in the muck,duck,other
other-duck33,that's a duck,duck,other
other-duck34,he knows duck,duck,other
other-duck35,does the dog like the ducks,duck,other
other-duck36,this is a duck,duck,other
other-duck37,duck,duck,other
other-duck38,you did the duck puzzle,duck,other
other-duck39,what does the duck say,duck,other
other-duck40,duck,duck,other
other-duck41,mostly dogs and cats but getting to chicks and ducks and pigs and goats and we had a thing we did with the camel and she recognizes the camel know,duck,other
other-duck42,be a duck,duck,other
other-duck43,kisses for the duck what does a duck say,duck,other
other-duck44,there's a kiss for your lamb and your duck,duck,other
other-duck45,but doctor duck did not ask felix's mama to leave the room doctor duck let felix's mama stay with him the whole time,duck,other
other-duck46,those are ducks,duck,other
other-duck47,you are a silly little duck aren't you,duck,other
other-duck48,what does the duck say,duck,other
other-duck49,is there a duck or a fishy oh here's a fishy there's dolphin a dolphin likes the water,duck,other
other-duck50,mother duck said quack quack quack quack,duck,other
other-duck51,duck,duck,other
other-duck52,ducks,duck,other
other-duck53,where's a duck,duck,other
other-duck54,oh how many chairs does the duck have,duck,other
other-duck55,it's a duck,duck,other
other-duck56,um pictures we've done pictures of and associating sounds with cows sheep ducks and horses and he seems to recognize those and anticipate those,duck,other
other-duck57,eight possums nibbling on blossoms crawled to the duck,duck,other
other-duck58,did you get the duck rattle,duck,other
other-duck59,you wanna go get your duck,duck,other
other-duck60,that's a duck,duck,other
other-duck61,okay feel the duck,duck,other
other-duck62,the duck,duck,other
other-duck63,oh you're right duck ducks you're right duck,duck,other
other-duck64,you think do you think the duck sleeps in that bed,duck,other
other-duck65,you can call that the bill also of the duck,duck,other
other-duck66,you want your duck,duck,other
other-duck67,he's just starting that one duck,duck,other
other-duck68,the duck is cooking,duck,other
other-duck69,are you hugging duck,duck,other
other-duck70,do you see where the ducks are,duck,other
other-duck71,the yellow duck the yellow duck,duck,other
other-duck72,quack quack quack quack quack called the duck,duck,other
other-duck73,and actually what this spells is duck nap muzzle,duck,other
other-duck74,are there two ducks,duck,other
other-duck75,a duck,duck,other
other-duck76,down by the marsh by the sleepy slimy marsh one duck gets stuck in the muck,duck,other
other-duck77,following their mommy duck,duck,other
other-duck78,he always like the ducks,duck,other
other-duck79,it's the duck,duck,other
other-duck80,can you put the duck in,duck,other
other-duck81,yeah he's got duck feet doesn't he,duck,other
other-duck82,quack quack there's a duck,duck,other
other-duck83,um and another bright baby like with the same pictures of ducks,duck,other
other-duck84,quack quack white duck,duck,other
other-duck85,ducks,duck,other
other-duck86,duck,duck,other
other-duck87,where's your duck,duck,other
other-duck88,wanna put the duck in here,duck,other
other-duck89,it is on the duck,duck,other
other-duck90,hey there's the duck,duck,other
other-duck91,following their mommy ducks,duck,other
other-duck92,duck,duck,other
other-duck93,there's your baby duck,duck,other
other-duck94,can you find the duck,duck,other
other-duck95,bear bunny duck alligator and hen,duck,other
other-duck96,is it a duck,duck,other
other-duck97,duck,duck,other
other-duck98,a duck what's a duck say,duck,other
other-duck99,but on a duck it's also called something else,duck,other
other-duck100,following their mommy duck,duck,other
other-duck101,duck,duck,other
other-duck102,is your duck going up in the air,duck,other
other-duck103,where's the duck go,duck,other
other-duck104,duck says quack,duck,other
other-duck105,does he like ducks,duck,other
other-duck106,may be it'll be okay to build a nest near a duck,duck,other
other-duck107,the duck and a frog,duck,other
other-duck108,ducks can be very loud and noisy too you know,duck,other
other-duck109,ducks say quack,duck,other
other-duck110,his quack quack duck,duck,other
other-duck111,duck,duck,other
other-duck112,ducks in the mill pond,duck,other
other-duck113,and on this farm he had a duck,duck,other
other-duck114,just ducks and there's sheep,duck,other
other-duck115,each on one side of the duck,duck,other
other-duck116,a duck with two ducklings and a little rabbit for carrots,duck,other
other-duck117,duck duck duck,duck,other
other-duck118,are those baby ducks,duck,other
other-duck119,should we read that book about the ducks,duck,other
other-duck120,looks like a duck,duck,other
other-duck121,i see a yellow duck looking at me,duck,other
other-duck122,sad mother duck went out one day,duck,other
other-duck123,the duck is soft,duck,other
other-duck124,because we i think um ducks,duck,other
other-duck125,what do ducks eat,duck,other
other-duck126,no duck,duck,other
other-duck127,do ya wanna look at some baby ducks,duck,other
other-duck128,the little duck,duck,other
other-duck129,a duck,duck,other
other-duck130,oh you love duck,duck,other
other-duck131,david donald do dreamed a dozen donuts and a duck dog too,duck,other
other-duck132,here is the duck,duck,other
other-duck133,duck duck duck,duck,other
other-duck134,see the duck,duck,other
other-duck135,ducks,duck,other
other-duck136,the ducks,duck,other
other-duck137,yeah ducks,duck,other
other-duck138,what does a duck say,duck,other
other-duck139,oh how's the duck feel,duck,other
other-duck140,big_bird today on sesame_street was trying to teach a duck to quack,duck,other
other-duck141,yeah is that your duck,duck,other
other-duck142,yeah but what's the chicken and duck doing together,duck,other
other-duck143,what does a duck say,duck,other
other-duck144,following their mommy duck,duck,other
other-duck145,don't rip the duck's hair off,duck,other
other-duck146,the baby ducks,duck,other
other-duck147,three little ducks went out one day over the hills and far away mother duck said,duck,other
other-duck148,david donald doo dreamed a dozen doughnuts and a duck dog too,duck,other
other-duck149,let's see if you can put the duck in for me,duck,other
other-duck150,that's a duck,duck,other
other-duck151,doctor duck listened to felix's heart and looked into felix's ears and took his temperature,duck,other
other-duck152,a duck,duck,other
other-duck153,he absolutely loves ducks,duck,other
