filename,transcription,word
other-goodnight1,yeah there's he likes saying good night to the clocks and to the uh stars,goodnight
other-goodnight2,want goodnight moon,goodnight
other-goodnight3,that's right good night hon i love you,goodnight
other-goodnight4,okay now well have a good night sleep hon,goodnight
other-goodnight5,good night cow jumping over the moon,goodnight
other-goodnight6,good night moon,goodnight
other-goodnight7,good night bunny,goodnight
other-goodnight8,and there's goodnight moon,goodnight
other-goodnight9,good night clocks and good night socks,goodnight
other-goodnight10,good night kittens,goodnight
other-goodnight11,good night sweet butterflies,goodnight
other-goodnight12,good night mush,goodnight
other-goodnight13,and you found good night moon,goodnight
other-goodnight14,good night to the old lady whispering hush,goodnight
other-goodnight15,good night,goodnight
other-goodnight16,good night comb and good night brush,goodnight
other-goodnight17,good night stars,goodnight
other-goodnight18,good night,goodnight
other-goodnight19,good night nobody good night mush,goodnight
other-goodnight20,good night little house good night mouse,goodnight
other-goodnight21,good night,goodnight
other-goodnight22,good night nobody good night mush,goodnight
other-goodnight23,you have a good night sleep,goodnight
other-goodnight24,good night room,goodnight
other-goodnight25,good night baby_donald,goodnight
other-goodnight26,good night moon,goodnight
other-goodnight27,good night air,goodnight
other-goodnight28,good night,goodnight
other-goodnight29,good night desk,goodnight
other-goodnight30,good night kittens good night mittens,goodnight
other-goodnight31,and good night mouse,goodnight
other-goodnight32,good night says her mother,goodnight
