filename,transcription,word,speaker
other-horse1,oop there's another horse,horse,other
other-horse2,maybe our pony can watch our horse can watch the baby,horse,other
other-horse3,when she came back the mommy horse said you have been very very brave,horse,other
other-horse4,do you want me to get it for the little horse,horse,other
other-horse5,a baby horse is called a,horse,other
other-horse6,and you rode on the horse,horse,other
other-horse7,a horse says,horse,other
other-horse8,what's the mommy horse doing,horse,other
other-horse9,it's just like a horse,horse,other
other-horse10,the clown was riding the horse,horse,other
other-horse11,roll the ball ride a horse chickadee chicky,horse,other
other-horse12,horses too,horse,other
other-horse13,um which is funny because sometimes i think he confuses zebras and horses so,horse,other
other-horse14,and then she she thought this was a horse,horse,other
other-horse15,ah jump horse,horse,other
other-horse16,he's on his horse,horse,other
other-horse17,there's a little white one right near the horse,horse,other
other-horse18,your horse,horse,other
other-horse19,bow to the horse,horse,other
other-horse20,just like the horse and the dog,horse,other
other-horse21,the horse and the little horse,horse,other
other-horse22,where is the horse is,horse,other
other-horse23,she rocks on a horse,horse,other
other-horse24,say horse,horse,other
other-horse25,is this a horse jumping over the moon,horse,other
other-horse26,oh the horses run,horse,other
other-horse27,i wonder if that's for horses to eat out of or horses to drink out of,horse,other
other-horse28,okay the big horse,horse,other
other-horse29,xxx brown horse,horse,other
other-horse30,you got a saddle on your horse,horse,other
other-horse31,huh no the horses live there neigh,horse,other
other-horse32,and what does the horse say,horse,other
other-horse33,a blue horse,horse,other
other-horse34,chicks peep crickets cheep horses neigh donkeys bray,horse,other
other-horse35,you're going to ride the horse,horse,other
other-horse36,well i don't really like to drink horse's milk,horse,other
other-horse37,bow to the horse,horse,other
other-horse38,to stay brown and healthy the brown horse eats all day,horse,other
other-horse39,he can sound like horse feet,horse,other
other-horse40,uh not really i mean he wanted to find a horse,horse,other
other-horse41,the brown horse eats all day,horse,other
other-horse42,excuse me baby horse have you seen the cow,horse,other
other-horse43,all the king's horses and all the king's men,horse,other
other-horse44,ride a horse to boston to buy a loaf of bread,horse,other
other-horse45,what do horses eat,horse,other
other-horse46,horses can walk,horse,other
other-horse47,it's a horse sweetie,horse,other
other-horse48,can i ride your horse,horse,other
other-horse49,she called the horse a cow,horse,other
other-horse50,are the horses gonna run to me,horse,other
other-horse51,rocking horse,horse,other
other-horse52,there was a great big horse and a very little horse,horse,other
other-horse53,she rocks on a horse,horse,other
other-horse54,you feel the horse,horse,other
other-horse55,to stay strong and healthy the strong horse eats all day,horse,other
other-horse56,i thought that was a silly name for a big black horse with a roaring lion saddle,horse,other
other-horse57,horse,horse,other
other-horse58,it's a big heavy horse shoe,horse,other
other-horse59,to stay strong and healthy the brown horse eats all day,horse,other
other-horse60,i see a blue horse looking at me,horse,other
other-horse61,one team of old horses in a log contest,horse,other
other-horse62,a golden flying horse,horse,other
other-horse63,well i'm a little inflexible i must say for a horse but let's see,horse,other
other-horse64,there was a great big horse,horse,other
other-horse65,i'm riding my horse,horse,other
other-horse66,mommy horse baby horse,horse,other
other-horse67,see there's a blue horse,horse,other
other-horse68,she is holding on to the horses harness that's what that is,horse,other
other-horse69,daddy's foot is a fly away horse and nomi is a fly away man,horse,other
other-horse70,that's right you do see the horses at polo,horse,other
other-horse71,a blue horse looking at me,horse,other
other-horse72,uh uhhuh the little baby on the little horse,horse,other
other-horse73,about the cows and horses,horse,other
other-horse74,you feel the horse,horse,other
other-horse75,rocking horse,horse,other
other-horse76,we'll put her on the horse okay,horse,other
other-horse77,and who rode on the back of the horses,horse,other
other-horse78,it looks like a jump for a horse or is it part of a fence,horse,other
other-horse79,is that a horse,horse,other
other-horse80,squeezing the horse,horse,other
other-horse81,it's all about horses,horse,other
other-horse82,five horses but where's the cat,horse,other
other-horse83,probably think it's like a deer or a horse,horse,other
other-horse84,what's the horse say,horse,other
other-horse85,blue horse blue horse what do you see,horse,other
