filename,transcription,word,speaker
other-mom1,you love mom's keys,mom,other
other-mom2,it's mom and dad and me,mom,other
other-mom3,mom,mom,other
other-mom4,say mom,mom,other
other-mom5,definitely he recognizes the name of mom and dad,mom,other
other-mom6,you can talk to your mom,mom,other
other-mom7,that's jillian's mom,mom,other
other-mom8,nice mom,mom,other
other-mom9,that one says sarah for your mom,mom,other
other-mom10,come see mom mom,mom,other
other-mom11,a drink for mom,mom,other
other-mom12,your mom pushes the carriage,mom,other
other-mom13,as soon as i put my shoes on mom i will come in xxx,mom,other
other-mom14,no mom it's,mom,other
other-mom15,just mom,mom,other
other-mom16,mom brought it,mom,other
other-mom17,can i ask your mom some questions,mom,other
other-mom18,what are you doing naima to your mom,mom,other
other-mom19,mom,mom,other
other-mom20,where were you mom,mom,other
other-mom21,think your mom bought him a bunch,mom,other
other-mom22,okay mom,mom,other
other-mom23,xxx mom,mom,other
other-mom24,see where mom's pointing,mom,other
other-mom25,mom the tickets go on sale september thirteenth at nine at ten o'clock,mom,other
other-mom26,where could mom be,mom,other
other-mom27,because we'll just bring him down when he's sleepy mom,mom,other
other-mom28,uhoh that's mom's flower pot,mom,other
other-mom29,mom daddy told me it spells ham,mom,other
other-mom30,my mom found them for me in new york and i love them,mom,other
other-mom31,show mom one more time,mom,other
other-mom32,cmon mom,mom,other
other-mom33,mom my knee hurts,mom,other
other-mom34,say let's go for a walk mom,mom,other
other-mom35,do you wanna sit up here with mom,mom,other
other-mom36,no i was just thinking mom if i were to do that again,mom,other
other-mom37,okay mom's just getting a drink dillon,mom,other
other-mom38,sleepy bear i'm hungry mom,mom,other
other-mom39,mom i wanna go on the merry+go+round now,mom,other
other-mom40,mom is gonna throw it to the kitty,mom,other
other-mom41,can i go like this mom,mom,other
other-mom42,didn't you know your mom just cleaned that floor,mom,other
other-mom43,yummy mom,mom,other
other-mom44,mom,mom,other
other-mom45,my niece got a bad burn from helping in the kitchen so i as a mom i'm just really a little bit shy of them helping helping out with that so,mom,other
other-mom46,mom xxx,mom,other
other-mom47,my parents were right there and mom gave me a great big,mom,other
other-mom48,circle you want mom to open the circle for you that one's hard it has a button,mom,other
other-mom49,uh huh that tastes real good mom mmmm,mom,other
other-mom50,mom,mom,other
other-mom51,mom,mom,other
other-mom52,this is a picture of mom okay,mom,other
other-mom53,whatever mom you bore me mom,mom,other
other-mom54,i'm not a heavy baby mom,mom,other
other-mom55,let's see if mom can do it,mom,other
other-mom56,what's the mom say to the little girl,mom,other
other-mom57,your mom told me last week that you were feeling sick are you feeling better,mom,other
other-mom58,oh did mom help,mom,other
other-mom59,her mom's right here,mom,other
other-mom60,when mom wasn't looking we stuck olives on fingers,mom,other
other-mom61,mkay so where are the mom and dad going,mom,other
other-mom62,my dad i called my dad and was singing happy birthday to him over the phone when it was his birthday he's like woo you got your mom's sense of singing didn't you,mom,other
other-mom63,you did a good job helping mom,mom,other
other-mom64,may i have some juice please mom,mom,other
other-mom65,mom,mom,other
other-mom66,throw it to mom,mom,other
other-mom67,you gonna sit up here for mom,mom,other
other-mom68,that sounds yummy mom,mom,other
other-mom69,so um and i think she probably started cooking with my mom or,mom,other
other-mom70,xxx mom,mom,other
other-mom71,the sauce pizza that's true but whada you like to eat mom whadoes mommy like to eat on her pizza,mom,other
other-mom72,what's that mom saying,mom,other
other-mom73,mom mom mom mom mom mom mom,mom,other
other-mom74,dry them off mom,mom,other
other-mom75,time to get up mom and daddy,mom,other
other-mom76,mom will hold big_bird,mom,other
other-mom77,show mom so mommy can see,mom,other
other-mom78,say oh boy mom,mom,other
other-mom79,you took mom's one dollie,mom,other
other-mom80,markers mom markers,mom,other
other-mom81,mom is gonna brush her teeth,mom,other
other-mom82,that's weird mom,mom,other
other-mom83,go get a tissue from mom,mom,other
other-mom84,he doesn't like it mom,mom,other
other-mom85,mom,mom,other
other-mom86,have you seen my mom she's like me only big,mom,other
other-mom87,you know i need some advice from moms some moms about baths,mom,other
other-mom88,that sounds like a good idea mom,mom,other
other-mom89,then miss spider smiled and held betty fast i looked for my mom and i found you,mom,other
other-mom90,right mom,mom,other
other-mom91,say unbuckle me mom,mom,other
other-mom92,you gave it to your mom,mom,other
other-mom93,mom's gonna get her coca_cola,mom,other
