filename,transcription,word,speaker
other-birdie1,birdie,birdie,other
other-birdie2,can chi make the birdie sing,birdie,other
other-birdie3,watch the birdie roll,birdie,other
other-birdie4,hi birdie,birdie,other
other-birdie5,take me home little birdy take me home,birdie,other
other-birdie6,what's a birdie,birdie,other
other-birdie7,butterflies any birdies in here huh,birdie,other
other-birdie8,it's a birdie,birdie,other
other-birdie9,don't worry about it little birdie,birdie,other
other-birdie10,birdie goes tweet tweet,birdie,other
other-birdie11,birdie,birdie,other
other-birdie12,look at the birdie yeah,birdie,other
other-birdie13,birdy birdy birdy there's the flax oil that you said daddy likes to eat and you're absolutely right,birdie,other
other-birdie14,the birdie,birdie,other
other-birdie15,the birdie spins,birdie,other
other-birdie16,put the birdy in the tree,birdie,other
other-birdie17,do we eat birdies,birdie,other
other-birdie18,another little birdie bird,birdie,other
other-birdie19,birdie singing,birdie,other
other-birdie20,what about the birdy,birdie,other
other-birdie21,yeah but look at this this birdie only showing one leg on this,birdie,other
other-birdie22,i hear all those birdies outside,birdie,other
other-birdie23,what's that little birdie doing,birdie,other
other-birdie24,the birdie,birdie,other
other-birdie25,where's the birdie,birdie,other
other-birdie26,is that the birdie,birdie,other
other-birdie27,birdie is singing so pretty,birdie,other
other-birdie28,what did you see birdie,birdie,other
other-birdie29,birdie,birdie,other
other-birdie30,it's alright because it looks very much like a birdie,birdie,other
other-birdie31,okay you wanna read this one about the birdie,birdie,other
other-birdie32,there's a little birdie flying away,birdie,other
other-birdie33,do you hear the birdies,birdie,other
other-birdie34,i heard that birdie too,birdie,other
other-birdie35,birdie bus that's right,birdie,other
other-birdie36,yes there's a birdie out there someplace isn't there,birdie,other
other-birdie37,do you hear birdies,birdie,other
other-birdie38,birdie,birdie,other
other-birdie39,there's a birdie,birdie,other
other-birdie40,i see the birdie too,birdie,other
other-birdie41,no ya gotta put the birdy in the tree look,birdie,other
other-birdie42,furry birdy,birdie,other
other-birdie43,do you hear the birdies,birdie,other
other-birdie44,see the birdie,birdie,other
other-birdie45,birdie,birdie,other
