filename,transcription,word,speaker
other-blankie1.wav,do you need me to get blankie honey,blankie,other
other-blankie2.wav,and your blankie,blankie,other
other-blankie3.wav,and that bunny has a little blue blankie,blankie,other
other-blankie4.wav,where is your blankie,blankie,other
other-blankie5.wav,you got your blankie though now huh,blankie,other
other-blankie6.wav,now pick up your blankie i'll turn out the light kiss mama kiss daddy good_night dear good_night,blankie,other
other-blankie7.wav,and that's a blankie,blankie,other
other-blankie8.wav,xxx i see you little blankie girl,blankie,other
other-blankie9.wav,blankie on,blankie,other
other-blankie10.wav,yes daddy loves blankie,blankie,other
other-blankie11.wav,you can have your blankie,blankie,other
other-blankie12.wav,a pink blankie we have lots_of presents for baby cassey,blankie,other
other-blankie13.wav,do you want mommy to get blankie,blankie,other
other-blankie14.wav,you're sitting on a blankie,blankie,other
other-blankie15.wav,does that blankie taste good,blankie,other
other-blankie16.wav,oh my gosh there are bubbles on blankie,blankie,other
other-blankie17.wav,do you wanna take your blankie downstairs,blankie,other
other-blankie18.wav,that's your blankie isn't it,blankie,other
other-blankie19.wav,blankie blankie,blankie,other
other-blankie20.wav,you're gonna get your blankie,blankie,other
other-blankie21.wav,put on the blankie,blankie,other
other-blankie22.wav,they lost them and they had to go find their teddy bear and blankie,blankie,other
other-blankie23.wav,you know what honey gramma rosie got you blankie to,blankie,other
other-blankie24.wav,does daddy love blankie,blankie,other
