filename,transcription,word,speaker
other-doggy1,there's the doggie,doggy,other
other-doggy2,what a sweet little doggy huh,doggy,other
other-doggy3,now the doggie's on the other side,doggy,other
other-doggy4,i'm gonna get the doggie,doggy,other
other-doggy5,what does a doggie say,doggy,other
other-doggy6,those are nice doggies xxx,doggy,other
other-doggy7,xxx doggie huh,doggy,other
other-doggy8,doggie,doggy,other
other-doggy9,where's the doggie,doggy,other
other-doggy10,i'm gonna line them up for row call lucy is one sally is two asha is three doggy woggy is four and liza is five you have five friends here right now we're missing a couple,doggy,other
other-doggy11,what does a doggie say,doggy,other
other-doggy12,oh the stuffed doggie right yes,doggy,other
other-doggy13,should we give the doggie some juice,doggy,other
other-doggy14,what's a doggy say,doggy,other
other-doggy15,you saw luna doggie,doggy,other
other-doggy16,i'm gonna make a doggy,doggy,other
other-doggy17,is that a doggie,doggy,other
other-doggy18,the doggie,doggy,other
other-doggy19,how about the doggie,doggy,other
other-doggy20,what does the doggie say,doggy,other
other-doggy21,aw yeah it's a soft doggie,doggy,other
other-doggy22,and what's the doggy's name,doggy,other
other-doggy23,you like doggies,doggy,other
other-doggy24,watch the doggy chase the ball,doggy,other
other-doggy25,that's a doggie,doggy,other
other-doggy26,what does the doggie say,doggy,other
other-doggy27,oh the doggie is,doggy,other
other-doggy28,doggie's outside huh,doggy,other
other-doggy29,we can't bite the doggy,doggy,other
other-doggy30,there's doggies in the water,doggy,other
other-doggy31,and there's a doggy,doggy,other
other-doggy32,oh there's that doggie again,doggy,other
other-doggy33,doggie,doggy,other
other-doggy34,you like the doggie,doggy,other
other-doggy35,doggie,doggy,other
other-doggy36,see the lady with her doggie,doggy,other
other-doggy37,that's the doggie,doggy,other
other-doggy38,are you combing the doggie's hair,doggy,other
other-doggy39,do you have doggies there,doggy,other
other-doggy40,doggies going splash splash splash,doggy,other
other-doggy41,do you see the doggie,doggy,other
other-doggy42,ya like that doggie huh,doggy,other
other-doggy43,you wanna go play with the doggie,doggy,other
other-doggy44,where's the doggie,doggy,other
other-doggy45,what does doggie say,doggy,other
other-doggy46,it's a doggie desk top organizer,doggy,other
other-doggy47,doggie,doggy,other
other-doggy48,doggy what a good doggie,doggy,other
other-doggy49,doggie in your face,doggy,other
other-doggy50,who's that doggy,doggy,other
other-doggy51,gail what's the doggie's name,doggy,other
other-doggy52,see this doggie,doggy,other
other-doggy53,are you going to get a doggie,doggy,other
other-doggy54,xxx nice to the doggy huh,doggy,other
other-doggy55,doggy's done,doggy,other
other-doggy56,you see the doggies,doggy,other
other-doggy57,hello doggies,doggy,other
other-doggy58,where's the doggie,doggy,other
other-doggy59,can you say doggie,doggy,other
other-doggy60,or dolly are you saying doggie or dolly,doggy,other
other-doggy61,where's the doggy,doggy,other
other-doggy62,doggie,doggy,other
other-doggy63,that is jimmy's doggie,doggy,other
other-doggy64,they're both doggies,doggy,other
other-doggy65,doggie doggie doggie,doggy,other
other-doggy66,do you see damian do you see a doggy,doggy,other
other-doggy67,what does a doggie say,doggy,other
other-doggy68,where's the doggie,doggy,other
other-doggy69,a_lot of doggies,doggy,other
other-doggy70,little stinker doggie,doggy,other
other-doggy71,that's a doggie,doggy,other
other-doggy72,the water is all muddy because the doggie was in it,doggy,other
other-doggy73,oh he got a big mouth that doggy,doggy,other
other-doggy74,hi doggie,doggy,other
other-doggy75,yeah doggie,doggy,other
other-doggy76,this is not a doggy,doggy,other
other-doggy77,where is where is the doggie,doggy,other
other-doggy78,you want to wash doggy woggy's spots off,doggy,other
other-doggy79,you want to oh you xxx do the doggies,doggy,other
other-doggy80,what does a doggie say,doggy,other
other-doggy81,doggy,doggy,other
other-doggy82,uhoh that doggie's chewing on a shoe,doggy,other
other-doggy83,blue's a doggie,doggy,other
other-doggy84,where's the doggie,doggy,other
other-doggy85,where is the doggie,doggy,other
other-doggy86,a real bigger than my doggie's car,doggy,other
other-doggy87,the tail of the doggie,doggy,other
other-doggy88,remember aunt terri's doggie,doggy,other
other-doggy89,is he a doggie,doggy,other
other-doggy90,it's a doggie,doggy,other
other-doggy91,say doggie,doggy,other
other-doggy92,what does that doggie say,doggy,other
other-doggy93,toy doggie,doggy,other
other-doggy94,that's a doggie,doggy,other
other-doggy95,i did not even hear that doggie bark,doggy,other
other-doggy96,we have some doggies too don't we,doggy,other
other-doggy97,do you think the doggy wants pizza,doggy,other
other-doggy98,it is doggie,doggy,other
other-doggy99,xxx hi doggy,doggy,other
other-doggy100,can you say doggie,doggy,other
other-doggy101,there is a doggie bowl with water in it,doggy,other
other-doggy102,doggie have some,doggy,other
other-doggy103,there's the doggie,doggy,other
other-doggy104,doggie,doggy,other
other-doggy105,see the doggie,doggy,other
other-doggy106,is this a doggy,doggy,other
other-doggy107,you want to sit down and pet the doggies,doggy,other
other-doggy108,doggy,doggy,other
other-doggy109,and a doggie,doggy,other
other-doggy110,do you hear that doggie,doggy,other
other-doggy111,where's the little doggie thing,doggy,other
other-doggy112,i never saw a little boy drink out_of a doggie bowl,doggy,other
other-doggy113,do you see the doggie over across the street,doggy,other
other-doggy114,no this what did this doggie do during the day to get himself all dirty,doggy,other
other-doggy115,doggie,doggy,other
other-doggy116,i can see a doggy over there,doggy,other
other-doggy117,it's a little doggie who lives in a little,doggy,other
other-doggy118,and the doggy,doggy,other
other-doggy119,ya want the doggie to pat the bunny,doggy,other
other-doggy120,show the doggie,doggy,other
other-doggy121,you like the doggie,doggy,other
other-doggy122,big big doggie,doggy,other
other-doggy123,be nice to doggie,doggy,other
other-doggy124,where's the doggie,doggy,other
other-doggy125,are you like a doggie,doggy,other
other-doggy126,a doggie says woof woof,doggy,other
other-doggy127,doggie,doggy,other
other-doggy128,doggies play with balls sometimes,doggy,other
other-doggy129,the doggies are serving things,doggy,other
other-doggy130,mommy throw the ball at doggie,doggy,other
other-doggy131,are you chasing the doggie,doggy,other
other-doggy132,doggy,doggy,other
other-doggy133,it's kinda like a doggie huh,doggy,other
other-doggy134,is there a doggie down there,doggy,other
