filename,transcription,word,speaker
other-dolly1,there were four dollies,dolly,other
other-dolly2,dolly says hello,dolly,other
other-dolly3,maybe the dolly would like to eat the pear,dolly,other
other-dolly4,what did look for the dolly,dolly,other
other-dolly5,is that dolly saying hi to you,dolly,other
other-dolly6,and dolly fell down,dolly,other
other-dolly7,go find get the dolly and brush the dolly's hair,dolly,other
other-dolly8,dollie,dolly,other
other-dolly9,here's the dollie,dolly,other
other-dolly10,you wanna play with the dolly house,dolly,other
other-dolly11,where's the dolly,dolly,other
other-dolly12,where's the dolly,dolly,other
other-dolly13,think you could brush the dolly's hair too,dolly,other
other-dolly14,you could give the dolly a ride patrick,dolly,other
other-dolly15,here's another dolly,dolly,other
other-dolly16,dolly,dolly,other
other-dolly17,there were tin spoons and lead knives and forks and two dolly chairs all so convenient,dolly,other
other-dolly18,dollies,dolly,other
other-dolly19,did you hide the dollie,dolly,other
other-dolly20,here's a dollie,dolly,other
other-dolly21,you can have the dollie out_of your play+pen,dolly,other
other-dolly22,the dollie's hands and feet,dolly,other
other-dolly23,dollies are boring,dolly,other
other-dolly24,d is dolly e is ernest f is fuzzy,dolly,other
other-dolly25,dolly's hair,dolly,other
other-dolly26,this boy this dolly kay look,dolly,other
other-dolly27,she played with the dolly,dolly,other
other-dolly28,or you wanna play dolly house,dolly,other
other-dolly29,oh love on the dollie,dolly,other
other-dolly30,look at the dollie,dolly,other
other-dolly31,that's your dollie,dolly,other
other-dolly32,you finished with the dollies,dolly,other
other-dolly33,read the dollies a story,dolly,other
other-dolly34,this is sort of like your dolly at home,dolly,other
other-dolly35,and a dollie,dolly,other
other-dolly36,ask the dolly if it hurts,dolly,other
other-dolly37,xxx dolly,dolly,other
other-dolly38,they're having tea with a dollie and a bear,dolly,other
other-dolly39,yeah sure you'll get that dolly,dolly,other
other-dolly40,play with the dollies,dolly,other
other-dolly41,she's a nice little dollie,dolly,other
other-dolly42,brush the dolly,dolly,other
other-dolly43,does mot got all the dollies,dolly,other
other-dolly44,there's a dollie,dolly,other
