filename,transcription,word
other-duckie1,is there a ducky,duckie
other-duckie2,the ducky rides on the top of the bathtub,duckie
other-duckie3,there's yellow duckies,duckie
other-duckie4,you're a ducky,duckie
other-duckie5,but rubber duckies never say quack,duckie
other-duckie6,the duckie is up,duckie
other-duckie7,duckie,duckie
other-duckie8,where's the duckie,duckie
other-duckie9,put the duckie away,duckie
other-duckie10,duckies,duckie
other-duckie11,but uh he definitely knows when he takes his bath he knows his rubber duckies,duckie
other-duckie12,duckie,duckie
other-duckie13,maybe it's in the bag the duckie bag,duckie
other-duckie14,can you put the hat on duckie,duckie
other-duckie15,big duckie,duckie
other-duckie16,is that your duckie,duckie
other-duckie17,xxx xxx xxx what if the duckie grabbed the plastic,duckie
other-duckie18,rubber duckies don't say quack,duckie
other-duckie19,you like the duckie,duckie
other-duckie20,do you wanna make nice to the ducky,duckie
other-duckie21,parrots talk hens squawk peacocks shriek and children speak but rubber duckies absolutely never say quack,duckie
other-duckie22,is that your duckie yeah,duckie
other-duckie23,where do you think these duckies are going,duckie
other-duckie24,hi duckie,duckie
other-duckie25,duckie,duckie
other-duckie26,duckies,duckie
other-duckie27,duckies,duckie
other-duckie28,duckies,duckie
other-duckie29,do you have a duckie,duckie
other-duckie30,what's the duckie say,duckie
other-duckie31,touch the little duckies,duckie
other-duckie32,the toys that becky drew are called duckie designs because her parents used to call her ducky,duckie
other-duckie33,you wanna feel the ducky,duckie
other-duckie34,yeah duckie,duckie
other-duckie35,yeah it's ducky,duckie
other-duckie36,did you wanna see the duckies,duckie
other-duckie37,i've got your duckie,duckie
other-duckie38,are they friends these duckies huh,duckie
other-duckie39,ya know what the duckie says,duckie
other-duckie40,they're two duckies huh,duckie
other-duckie41,you see the duckies,duckie
other-duckie42,but rubber duckies absolutely never ever say quack,duckie
other-duckie43,yeah that's the ducky,duckie
other-duckie44,make nice to the ducky,duckie
