filename,transcription,word,speaker
other-froggy1,you wanna say byebye to froggie,froggy,other
other-froggy2,that's your froggie bank,froggy,other
other-froggy3,you see the froggie,froggy,other
other-froggy4,that's froggie,froggy,other
other-froggy5,you just look so happy with froggie,froggy,other
other-froggy6,what's a froggy say,froggy,other
other-froggy7,look at that funny froggie,froggy,other
other-froggy8,like the froggie,froggy,other
other-froggy9,see the froggie book,froggy,other
other-froggy10,see it's a froggie,froggy,other
other-froggy11,you're my froggy,froggy,other
other-froggy12,froggie,froggy,other
other-froggy13,here comes froggie,froggy,other
other-froggy14,froggie went a-courting and he did ride sword and pistol by his side uhhuh uhhuh uhhuh,froggy,other
other-froggy15,froggie went a-courting and he did ride uhhuh,froggy,other
other-froggy16,froggy says ribbit,froggy,other
other-froggy17,we got a froggy,froggy,other
other-froggy18,where's the froggy,froggy,other
other-froggy19,look at froggie,froggy,other
other-froggy20,froggy have some,froggy,other
other-froggy21,get your froggie,froggy,other
other-froggy22,where's the froggie,froggy,other
other-froggy23,hello froggy,froggy,other
other-froggy24,we left out froggie out in the hall,froggy,other
other-froggy25,ut look at the froggy,froggy,other
other-froggy26,hello froggy,froggy,other
other-froggy27,xxx little froggy you like all this play food huh,froggy,other
other-froggy28,that froggie's in your throat,froggy,other
other-froggy29,we'll get froggie,froggy,other
other-froggy30,yeah just like the froggy xxx,froggy,other
