filename,transcription,word,speaker
other-kitty1.wav,so look at the bird the kitty,kitty,other
other-kitty2.wav,cause the kitty ran in there,kitty,other
other-kitty3.wav,yes there's a kitty on the seesaw,kitty,other
other-kitty4.wav,and that kitty,kitty,other
other-kitty5.wav,that kitty xxx,kitty,other
other-kitty6.wav,say kitty kitty kitty kitty kitty kitty kitty,kitty,other
other-kitty7.wav,the kitty likes it,kitty,other
other-kitty8.wav,sweetie should we look at your kitty book,kitty,other
other-kitty9.wav,kitty,kitty,other
other-kitty10.wav,i hear the kitty,kitty,other
other-kitty11.wav,yeah the kitty and the puppies live with nancy,kitty,other
other-kitty12.wav,that the kitty,kitty,other
other-kitty13.wav,you see the kitty,kitty,other
other-kitty14.wav,look see the kitty,kitty,other
other-kitty15.wav,a kitty,kitty,other
other-kitty16.wav,meow meow kitty kitty,kitty,other
other-kitty17.wav,kitty,kitty,other
other-kitty18.wav,move over grandma and kitty,kitty,other
other-kitty19.wav,no that's the black kitty and that's the red kitty,kitty,other
other-kitty20.wav,and the policeman's walking over here to start to get the kitty,kitty,other
other-kitty21.wav,can you find the kitty cat here,kitty,other
other-kitty22.wav,yes and here is a kitty,kitty,other
other-kitty23.wav,the kitty doesn't wanna play morgan,kitty,other
other-kitty24.wav,henry are you getting the kitty,kitty,other
other-kitty25.wav,here's a kitty's nose,kitty,other
other-kitty26.wav,that's a kitty cat lemme see,kitty,other
other-kitty27.wav,you get that kitty,kitty,other
other-kitty28.wav,kitty,kitty,other
other-kitty29.wav,that kitty,kitty,other
other-kitty30.wav,i love kitty,kitty,other
other-kitty31.wav,do you see the kitties,kitty,other
other-kitty32.wav,that's kitty's tail,kitty,other
other-kitty33.wav,yeah kitty,kitty,other
other-kitty34.wav,you leave the kitty water alone,kitty,other
other-kitty35.wav,hi kitty,kitty,other
other-kitty36.wav,another kitty,kitty,other
other-kitty37.wav,c'mere kitty kitty,kitty,other
other-kitty38.wav,that's a kitty,kitty,other
other-kitty39.wav,and the kitty ran behind the tree,kitty,other
other-kitty40.wav,you wanna see a kitty cat again,kitty,other
other-kitty41.wav,just pet the kitty nice,kitty,other
other-kitty42.wav,a black kitty yeah,kitty,other
other-kitty43.wav,kitty cat,kitty,other
other-kitty44.wav,there's the kitty,kitty,other
other-kitty45.wav,but where's the kitty going,kitty,other
other-kitty46.wav,yes kitty yes kitty one spotted calf,kitty,other
other-kitty47.wav,okay let me turn you so you can see the kitty real good,kitty,other
other-kitty48.wav,dog like i said doggie kitty and probably bird turtle things that he sees at friends houses and stuff like that we probably see the most,kitty,other
other-kitty49.wav,and what about your little kitty cat,kitty,other
other-kitty50.wav,and the kitty,kitty,other
other-kitty51.wav,yeah it's for kitty,kitty,other
other-kitty52.wav,is kitty in the pigpen,kitty,other
other-kitty53.wav,kitty,kitty,other
other-kitty54.wav,oh you wave byebye to the kitty,kitty,other
other-kitty55.wav,it's got the shape of a kitty,kitty,other
other-kitty56.wav,kitty,kitty,other
other-kitty57.wav,he's a big kitty here,kitty,other
other-kitty58.wav,oh kitty cat,kitty,other
other-kitty59.wav,chooklee was a really little kitty,kitty,other
other-kitty60.wav,is that how you call a kitty,kitty,other
