filename,transcription,word,speaker
other-nightnight1,go upstairs and i'll come and tuck you night night in a minute,night night,other
other-nightnight2,night night,night night,other
other-nightnight3,night night,night night,other
other-nightnight4,okay night night hon i love you,night night,other
other-nightnight5,you going night night,night night,other
other-nightnight6,night night,night night,other
other-nightnight7,night night panda get well soon,night night,other
other-nightnight8,put her night night,night night,other
other-nightnight9,night night,night night,other
other-nightnight10,night night sweetie i love you,night night,other
other-nightnight11,night night,night night,other
other-nightnight12,night night hon i love you,night night,other
other-nightnight13,night night panacka,night night,other
other-nightnight14,okay night night sweetie i love you,night night,other
other-nightnight15,okay night night hon i love you,night night,other
other-nightnight16,night night panacka,night night,other
other-nightnight17,night night miffy,night night,other
