corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,complexity
Valian,319930,1704,1702,27,doggy_dog,doggy,CDS,0,NA
Valian,321807,1704,1702,22,doggy_dog,doggy,CDS,0,NA
Valian,323643,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,323745,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,324484,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,330444,1704,1702,29,doggy_dog,doggy,CDS,0,NA
Valian,330504,1704,1702,29,doggy_dog,doggy,CDS,0,NA
Valian,330544,1704,1702,29,doggy_dog,doggy,CDS,0,NA
Valian,334484,1704,1702,22,doggy_dog,doggy,CDS,0,NA
Valian,335686,1704,1702,29,doggy_dog,doggy,CDS,0,NA
Valian,343215,1704,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,344064,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,344101,1704,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,344114,1704,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,344313,1704,1702,31,doggy_dog,doggy,CDS,0,NA
Valian,345756,1704,1702,30,doggy_dog,doggy,CDS,0,NA
Valian,345901,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Bernstein,347084,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,347384,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,347538,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,347551,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,347858,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348416,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348424,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348425,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348512,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348662,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348678,1714,1713,13,doggy_dog,doggy,CDS,0,NA
Bernstein,348700,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348702,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348704,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348719,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348836,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348838,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348860,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348866,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348867,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348903,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,348917,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349000,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349081,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349082,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349092,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349106,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349108,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349130,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349148,1714,1713,17,doggy_dog,doggy,CDS,0,NA
Valian,349556,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Bernstein,349858,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349876,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Bernstein,349893,1714,1713,15,doggy_dog,doggy,CDS,0,NA
Valian,351350,1704,1702,28,doggy_dog,doggy,CDS,0,0.6931471805599453
Valian,351367,1703,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,351379,1703,1702,28,doggy_dog,doggy,CDS,0,NA
Valian,351390,1704,1702,28,doggy_dog,doggy,CDS,0,0.2231435513142097
Valian,352511,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Bernstein,354518,1714,1713,17,doggy_dog,doggy,CDS,0,NA
Bernstein,354583,1714,1713,17,doggy_dog,doggy,CDS,0,NA
Bernstein,354591,1714,1713,17,doggy_dog,doggy,CDS,0,NA
Bernstein,354690,1720,1719,17,doggy_dog,doggy,CDS,0,NA
Bernstein,355545,1720,1719,20,doggy_dog,doggy,CDS,0,NA
Bernstein,356939,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357478,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357506,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357519,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357533,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357562,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357575,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357604,1723,1721,22,doggy_dog,doggy,CDS,0,NA
Bernstein,357642,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357662,1723,1721,22,doggy_dog,doggy,CDS,0,NA
Bernstein,357683,1723,1721,22,doggy_dog,doggy,CDS,0,NA
Bernstein,357775,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357790,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,357810,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357841,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357847,1729,1727,23,doggy_dog,doggy,CDS,0,NA
Bernstein,357861,1729,1727,23,doggy_dog,doggy,CDS,0,NA
Bernstein,357871,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357902,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357915,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357971,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,357972,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,358492,1723,1721,22,doggy_dog,doggy,CDS,0,NA
Bernstein,358643,1725,1724,19,doggy_dog,doggy,CDS,0,1.0986122886681098
Bernstein,358985,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Valian,359250,1703,1702,29,doggy_dog,doggy,CDS,0,NA
Bernstein,359315,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,359698,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,359715,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,359733,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,359812,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,360215,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,360352,1723,1721,22,doggy_dog,doggy,CDS,0,2.0794415416798357
Bernstein,360417,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,360421,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,360451,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,360580,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,360861,1725,1724,19,doggy_dog,doggy,CDS,0,NA
Bernstein,360899,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,360974,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,360983,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361001,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361016,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361017,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361025,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361029,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361123,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,361188,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361189,1729,1727,25,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,361218,1729,1727,25,doggy_dog,doggy,CDS,0,0.8472978603872037
Bernstein,361237,1729,1727,25,doggy_dog,doggy,CDS,0,0.8472978603872037
Bernstein,361392,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,361449,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,361475,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,361490,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,361506,1725,1724,21,doggy_dog,doggy,CDS,0,NA
Bernstein,361607,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361613,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361625,1723,1721,24,doggy_dog,doggy,CDS,0,1.3862943611198906
Bernstein,361651,1725,1724,17,doggy_dog,doggy,CDS,0,NA
Bernstein,361718,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361736,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361751,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361893,1729,1727,25,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,361899,1729,1727,25,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,361905,1729,1727,25,doggy_dog,doggy,CDS,0,0.40546510810816444
Bernstein,361913,1729,1727,25,doggy_dog,doggy,CDS,0,0.40546510810816444
Bernstein,361919,1729,1727,25,doggy_dog,doggy,CDS,0,0.2876820724517809
Bernstein,361927,1729,1727,25,doggy_dog,doggy,CDS,0,0.40546510810816444
Bernstein,361934,1729,1727,25,doggy_dog,doggy,CDS,0,0.7731898882334817
Bernstein,361936,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361941,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361946,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361960,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,361963,1729,1727,25,doggy_dog,doggy,CDS,0,NA
Bernstein,361971,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362078,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362081,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362084,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362107,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362113,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362167,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362238,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362268,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362274,1729,1727,21,doggy_dog,doggy,CDS,0,1.3862943611198906
Bernstein,362278,1729,1727,21,doggy_dog,doggy,CDS,0,1.3862943611198906
Bernstein,362282,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362287,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362289,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362301,1729,1727,21,doggy_dog,doggy,CDS,0,NA
Bernstein,362468,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362532,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362555,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362560,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362578,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362660,1731,1730,13,doggy_dog,doggy,CDS,0,NA
Bernstein,362731,1733,1732,24,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,362777,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362783,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,362915,1733,1732,24,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,362919,1733,1732,24,doggy_dog,doggy,CDS,0,0.2876820724517809
Bernstein,362926,1733,1732,24,doggy_dog,doggy,CDS,0,1.0986122886681098
Bernstein,362930,1733,1732,24,doggy_dog,doggy,CDS,0,1.3862943611198906
Bernstein,362938,1733,1732,24,doggy_dog,doggy,CDS,0,1.791759469228055
Bernstein,362943,1733,1732,24,doggy_dog,doggy,CDS,0,1.6094379124341003
Bernstein,362946,1733,1732,24,doggy_dog,doggy,CDS,0,1.0986122886681098
Bernstein,362963,1736,1734,18,doggy_dog,doggy,CDS,0,NA
Bernstein,362967,1733,1732,24,doggy_dog,doggy,CDS,0,0.40546510810816444
Bernstein,362972,1736,1734,18,doggy_dog,doggy,CDS,0,NA
Bernstein,362982,1733,1732,24,doggy_dog,doggy,CDS,0,1.3862943611198906
Bernstein,363020,1733,1732,24,doggy_dog,doggy,CDS,0,1.6094379124341003
Bernstein,363075,1733,1732,24,doggy_dog,doggy,CDS,0,1.0986122886681098
Bernstein,363080,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363086,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363089,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363103,1736,1734,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363108,1736,1734,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363174,1733,1732,24,doggy_dog,doggy,CDS,0,NA
Bernstein,363292,1733,1732,24,doggy_dog,doggy,CDS,0,NA
Bernstein,363415,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363418,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363421,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363424,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363429,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363448,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363450,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363457,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363485,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363531,1731,1730,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363613,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,363619,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,363638,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363660,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363693,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,363714,1736,1734,18,doggy_dog,doggy,CDS,0,NA
Bernstein,363870,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363878,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363883,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363893,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,363912,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,364045,1733,1732,24,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,364061,1733,1732,24,doggy_dog,doggy,CDS,0,0.6931471805599453
Bernstein,364349,1733,1732,19,doggy_dog,doggy,CDS,0,NA
Bernstein,364458,1718,1717,16,doggy_dog,doggy,CDS,0,NA
Bernstein,365864,1736,1734,22,doggy_dog,doggy,CDS,0,NA
Bernstein,365885,1736,1734,22,doggy_dog,doggy,CDS,0,NA
Valian,366018,1704,1702,29,doggy_dog,doggy,CDS,0,0.2876820724517809
Bernstein,366206,1736,1734,22,doggy_dog,doggy,CDS,0,NA
Valian,366718,1704,1702,28,doggy_dog,doggy,CDS,0,NA
Bernstein,369112,1738,1717,17,doggy_dog,doggy,CDS,0,NA
Bernstein,369648,1718,1717,21,doggy_dog,doggy,CDS,0,2.3978952727983707
Bernstein,369778,1738,1717,18,doggy_dog,doggy,CDS,0,NA
Bernstein,371534,1718,1717,24,doggy_dog,doggy,CDS,0,1.6094379124341003
Clark,372753,1741,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,374581,1741,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,374600,1741,1740,28,doggy_dog,doggy,CDS,0,0.40546510810816444
Clark,374943,1741,1740,27,doggy_dog,doggy,CDS,0,0.2876820724517809
Clark,375016,1741,1740,27,doggy_dog,doggy,CDS,0,0.35667494393873245
Clark,375713,1741,1740,27,doggy_dog,doggy,CDS,0,0.2876820724517809
Clark,375743,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,375765,1741,1740,27,doggy_dog,doggy,CDS,0,0.2876820724517809
Clark,375865,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,375917,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,375961,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,376703,1741,1740,28,doggy_dog,doggy,CDS,0,0.10536051565782628
Clark,377743,1741,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,377779,1741,1740,28,doggy_dog,doggy,CDS,0,0.11778303565638351
Clark,379985,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,380010,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,380030,1741,1740,27,doggy_dog,doggy,CDS,0,NA
Clark,380307,1741,1740,27,doggy_dog,doggy,CDS,0,0.2876820724517809
Clark,381044,1741,1740,29,doggy_dog,doggy,CDS,0,NA
Clark,381065,1741,1740,29,doggy_dog,doggy,CDS,0,0.1823215567939546
Clark,382958,1741,1740,29,doggy_dog,doggy,CDS,0,NA
Clark,383722,1741,1740,29,doggy_dog,doggy,CDS,0,NA
Clark,383875,1741,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,383908,1741,1740,28,doggy_dog,doggy,CDS,0,NA
Clark,384053,1741,1740,29,doggy_dog,doggy,CDS,0,0.0953101798043249
Clark,384091,1741,1740,29,doggy_dog,doggy,CDS,0,NA
Clark,384124,1741,1740,29,doggy_dog,doggy,CDS,0,NA
Clark,384510,1741,1740,28,doggy_dog,doggy,CDS,0,0.1823215567939546
