corpus_name,id,speaker_id,target_child_id,age,pair,item,form,form_numeric,verbs
PetersonMcCabe,381044,1755,1754,48,potty_bathroom,bathroom,ADS,1,1
PetersonMcCabe,393727,1755,1754,66,potty_bathroom,bathroom,ADS,1,2
PetersonMcCabe,394147,1755,1754,66,potty_bathroom,bathroom,ADS,1,2
Peters,653091,2338,2335,16,potty_bathroom,bathroom,ADS,1,1
Peters,653121,2338,2335,16,potty_bathroom,bathroom,ADS,1,2
Peters,653172,2338,2335,16,potty_bathroom,bathroom,ADS,1,1
Peters,656033,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,656179,2338,2335,17,potty_bathroom,bathroom,ADS,1,0
Peters,656484,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,656669,2338,2335,17,potty_bathroom,bathroom,ADS,1,3
Peters,656767,2338,2335,17,potty_bathroom,bathroom,ADS,1,0
Peters,657608,2338,2335,16,potty_bathroom,bathroom,ADS,1,7
Peters,658422,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,659970,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,662612,2338,2335,18,potty_bathroom,bathroom,ADS,1,2
Peters,663882,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,665861,2338,2335,17,potty_bathroom,bathroom,ADS,1,1
Peters,672617,2338,2335,18,potty_bathroom,bathroom,ADS,1,1
Peters,679931,2338,2335,19,potty_bathroom,bathroom,ADS,1,1
Peters,679982,2338,2335,18,potty_bathroom,bathroom,ADS,1,1
Peters,685335,2338,2335,18,potty_bathroom,bathroom,ADS,1,1
Kuczaj,912190,2545,2543,32,potty_bathroom,bathroom,ADS,1,0
Kuczaj,912217,2545,2543,32,potty_bathroom,bathroom,ADS,1,5
Kuczaj,915665,2544,2543,34,potty_bathroom,bathroom,ADS,1,1
Kuczaj,915699,2544,2543,34,potty_bathroom,bathroom,ADS,1,2
Kuczaj,918150,2544,2543,34,potty_bathroom,bathroom,ADS,1,1
Kuczaj,920350,2545,2543,36,potty_bathroom,bathroom,ADS,1,1
Kuczaj,920407,2544,2543,36,potty_bathroom,bathroom,ADS,1,1
Kuczaj,921544,2544,2543,34,potty_bathroom,bathroom,ADS,1,2
Kuczaj,925963,2545,2543,30,potty_bathroom,bathroom,ADS,1,3
Kuczaj,928772,2545,2543,38,potty_bathroom,bathroom,ADS,1,0
Kuczaj,934807,2544,2543,38,potty_bathroom,bathroom,ADS,1,0
Kuczaj,935651,2545,2543,39,potty_bathroom,bathroom,ADS,1,1
Kuczaj,936478,2545,2543,35,potty_bathroom,bathroom,ADS,1,2
Kuczaj,939189,2544,2543,41,potty_bathroom,bathroom,ADS,1,0
Kuczaj,942648,2544,2543,42,potty_bathroom,bathroom,ADS,1,6
Kuczaj,953498,2544,2543,47,potty_bathroom,bathroom,ADS,1,1
Gelman,1365779,3058,3057,32,potty_bathroom,bathroom,ADS,1,0
Gelman,1370430,3058,3057,35,potty_bathroom,bathroom,ADS,1,0
Gelman,1371693,3058,3057,36,potty_bathroom,bathroom,ADS,1,4
Gelman,1371743,3058,3057,36,potty_bathroom,bathroom,ADS,1,3
Gelman,1372327,3058,3057,37,potty_bathroom,bathroom,ADS,1,1
Gelman,1404255,3058,3057,35,potty_bathroom,bathroom,ADS,1,0
Gelman,1404667,3058,3057,75,potty_bathroom,bathroom,ADS,1,1
Gelman,1440842,3058,3057,57,potty_bathroom,bathroom,ADS,1,0
