word,aoa,babiness,pair,form,shift_type
doggy,NA,NA,doggy_dog,CDS,early
dog,16,3.1,doggy_dog,ADS,early
kitty,18,4.1,kitty_cat,CDS,early
cat,18,2,kitty_cat,ADS,early
tummy,22,7.166666667,tummy_stomach,CDS,late
stomach,NA,NA,tummy_stomach,ADS,late
daddy,16,9,daddy_dad,CDS,late
dad,NA,NA,daddy_dad,ADS,late
mommy,16,8.454545455,mommy_mom,CDS,late
mom,NA,NA,mommy_mom,ADS,late
bunny,21,2.8,bunny_rabbit,CDS,late
rabbit,NA,NA,bunny_rabbit,ADS,late
duckie,NA,NA,duckie_duck,CDS,never
duck,17,4.1,duckie_duck,ADS,never
blankie,NA,NA,blankie_blanket,CDS,never
blanket,21,8.916666667,blankie_blanket,ADS,never
froggy,NA,NA,froggy_frog,CDS,never
frog,22,2.909090909,froggy_frog,ADS,never
potty,21,6.909090909,potty_bathroom,CDS,late
bathroom,24,NA,potty_bathroom,ADS,late
night night,18,NA,night night_goodnight,CDS,early
goodnight,NA,NA,night night_goodnight,ADS,early
dolly,NA,NA,dolly_doll,CDS,early
doll,22,7.133333333,dolly_doll,ADS,early
horsey,NA,NA,horsey_horse,CDS,early
horse,20,2,horsey_horse,ADS,early
piggy,NA,NA,piggy_pig,CDS,never
pig,21,1.416666667,piggy_pig,ADS,never
birdie,NA,NA,birdie_bird,CDS,never
bird,17,2.375,birdie_bird,ADS,never
