word,babiness
a,3.454545455
about,2.4
above,2.416666667
after,2.142857143
all,2.1875
alligator,1.307692308
am,1.833333333
an,2.1
and,1.666666667
animal,4.888888889
ankle,4.454545455
another,2.133333333
ant,1.6
any,2.5
apple,3.5
are,2
arm,4.3
around,2.909090909
asleep,7.19047619
at,2
aunt,6.7
awake,6.2
away,1.916666667
baa,5.6875
baby,10
back,3.5
bad,3.416666667
ball,6
balloon,6.545454545
banana,3.083333333
basement,1.363636364
basket,5
bat,1.615384615
bath,7.666666667
be,2.235294118
beach,3
beads,2.636363636
beans,1.631578947
bear,4.8
because,2
bed,4.2
bee,1.8
before,2.352941176
behind,3.05
belt,1.285714286
bench,2
better,2.4
bib,9.75
big,2.727272727
bird,2.375
bite,3.615384615
black,2.5
blanket,8.916666667
block,4.473684211
blow,2.5
blue,7.333333333
boat,1.363636364
book,4.7
boots,3
bottle,9.6
bowl,4.4
box,1.941176471
boy,7.923076923
bread,2.1
break,4.7
breakfast,4.7
bring,3.1
broken,2
broom,1.214285714
brother,5.3
brown,4.1
brush,2.3
bubbles,5.928571429
bucket,1.5
bug,3.076923077
build,2.428571429
bump,7.363636364
bunny,2.8
bus,2.285714286
but,1.2
butter,2.4
buttocks,4.818181818
button,3.8
buy,4.066666667
by,2.083333333
bye,3.636363636
cake,4.166666667
camera,4.9
camping,1.6
candy,4.5
car,2.083333333
carrots,6.076923077
carry,5.909090909
cat,2
catch,2.5
cereal,6.315789474
chair,4.533333333
chalk,2.357142857
chase,3.8
cheek,5.842105263
cheerios,6.666666667
cheese,1.916666667
child,8.615384615
chin,4.923076923
chocolate,2.142857143
choo-choo,8.454545455
church,2.538461538
circus,4.454545455
clap,6.15
climb,2.909090909
clock,3.3
close,5.615384615
closet,1.916666667
cloud,2.363636364
clown,2.416666667
coat,2.363636364
cockadoodledoo,2.916666667
coffee,2.285714286
coke,1.5
cold,2.5
comb,3.875
cook,2.083333333
cookie,4.727272727
corn,1.818181818
couch,1.894736842
could,2.272727273
country,1.857142857
cover,3.083333333
cow,2.2
cracker,4.666666667
crayon,7.5
crib,9.315789474
cry,8
cup,3.363636364
cut,1.9375
cute,8.8
daddy,9
dance,3.545454545
dark,1.363636364
day,3.333333333
deer,2.071428571
diaper,6.916666667
did,2.733333333
dinner,4.181818182
dirty,6.461538462
dish,3.545454545
do,2.85
doctor,6.7
does,2.363636364
dog,3.1
doll,7.133333333
donkey,1
donut,2.333333333
door,1.8
draw,3.3
drawer,3.095238095
dress,2.9
drive,2.4
drop,2.538461538
dryer,2.352941176
duck,4.1
dump,2.363636364
each,3
ear,3.909090909
eat,6.1
egg,3.636363636
elephant,2.818181818
empty,2.380952381
every,3.2
eye,4.083333333
face,5.785714286
fall,4.181818182
farm,1.727272727
fast,2
feed,6.2
feet,6.454545455
find,2.909090909
fine,3
finger,5.166666667
finish,1.090909091
first,3.8
fit,1.666666667
fix,2.090909091
flag,1.909090909
flower,2.7
food,5.888888889
for,2.333333333
fork,1.705882353
friend,3.75
frog,2.909090909
full,3.363636364
game,4.384615385
garage,1.428571429
garbage,1.272727273
garden,3.266666667
gentle,7.272727273
get,3.625
giraffe,4.5
girl,5.727272727
give,3.5
glass,3.083333333
glasses,1.1
gloves,2.846153846
glue,1.636363636
go,2.9
gonna,2.75
good,4
goose,3.416666667
gotta,3.2
grapes,3
grass,1.727272727
green,2
grr,3.25
gum,3.714285714
hair,2.8
hamburger,1.416666667
hammer,4.9
hand,4.9
happy,6.909090909
hard,2.166666667
hat,4.066666667
hate,2.75
have,3.75
he,6.333333333
head,4.1
hear,4.6
heavy,3.666666667
hello,4.5
help,5.833333333
hen,2.076923077
her,5.363636364
here,1.2
hers,4.454545455
hi,5.181818182
hide,4.75
high,3.083333333
him,4.333333333
his,4.736842105
