item,transcript_id,corpus_name,target_child_name,media_start,media_end,audio_file,token,pitch_mean,pitch_min,pitch_max,pitch_range
doggy,42206,Providence,Alex,1167.283,1168.331,10526,1,,,,
doggy,42305,Providence,Lily,24.608,26.41,10102,2,184.1755274613161,69.065390521501,296.84615518750127,-227.78076466600027
doggy,42305,Providence,Lily,26.41,29.506,10102,3,274.72780424160027,145.74731392985808,424.50861995082244,-278.76130602096435
doggy,42305,Providence,Lily,513.013,514.171,10102,4,223.78762385803472,133.6479878006758,503.6061222517628,-369.95813445108706
doggy,42305,Providence,Lily,515.406,516.461,10102,5,165.9730800132945,128.61504352191818,196.65271277392273,-68.03766925200455
doggy,42305,Providence,Lily,516.943,517.775,10102,6,156.4623220319876,128.57524411273235,196.1411349435969,-67.56589083086456
doggy,42305,Providence,Lily,519.191,520.095,10102,7,177.6234994148125,131.47278106703672,313.1076048372548,-181.6348237702181
doggy,42305,Providence,Lily,521.37,522.52,10102,8,299.9832608376603,80.8339081428656,491.5567428575431,-410.7228347146775
doggy,42305,Providence,Lily,522.52,524.496,10102,9,336.04408641373294,112.45363010666273,471.46789713297255,-359.0142670263098
doggy,42305,Providence,Lily,544.398,545.326,10102,10,196.95980165310004,75.00384848740595,449.5616717372226,-374.55782324981664
doggy,42305,Providence,Lily,593.393,595.606,10102,11,377.3051828084471,123.43358657847615,472.39876656278517,-348.96517998430903
doggy,42305,Providence,Lily,604.388,606.725,10102,12,386.0922204758699,152.2955483081561,476.22354737944204,-323.92799907128597
doggy,42305,Providence,Lily,626.77,630.295,10102,13,213.94487217895156,75.40671880290854,436.791265152175,-361.3845463492665
doggy,42305,Providence,Lily,630.295,631.39,10102,14,267.8513876220989,86.04141732850337,522.2742540894658,-436.2328367609624
doggy,42305,Providence,Lily,675.951,677.406,10102,15,270.71267657547753,71.1612271196907,353.26423965259215,-282.10301253290146
doggy,42305,Providence,Lily,682.506,684.626,10102,16,374.4176159938893,152.85374197552875,477.83053679947807,-324.9767948239493
doggy,42307,Providence,Lily,447.15,449.516,10202,17,237.26298989585044,83.63326956378047,507.57311528160636,-423.9398457178259
doggy,42307,Providence,Lily,450.408,451.831,10202,18,340.94652095265917,151.11028984552516,410.5241140732608,-259.41382422773563
