word,aoa,babiness
a,27,3.454545455
a lot,29,NA
about,NA,2.4
above,NA,2.416666667
after,29,2.142857143
airplane,20,NA
all,26,2.1875
all gone,19,NA
alligator,25,1.307692308
am,29,1.833333333
an,NA,2.1
and,27,1.666666667
animal,24,4.888888889
ankle,30,4.454545455
another,28,2.133333333
ant,25,1.6
any,29,2.5
apple,18,3.5
applesauce,25,NA
are,29,2
arm,22,4.3
around,30,2.909090909
asleep,25,7.19047619
at,28,2
aunt,26,6.7
awake,26,6.2
away,27,1.916666667
baa,16,5.6875
baby,16,10
babysitter,NA,NA
back,26,3.5
backyard,27,NA
bad,25,3.416666667
ball,16,6
balloon,17,6.545454545
banana,16,3.083333333
basement,NA,1.363636364
basket,25,5
bat,26,1.615384615
bath,18,7.666666667
bathroom,24,NA
bathtub,22,NA
be,30,2.235294118
beach,27,3
beads,29,2.636363636
beans,25,1.631578947
bear,19,4.8
because,30,2
bed,21,4.2
bedroom,25,NA
bee,21,1.8
before,NA,2.352941176
behind,29,3.05
belly button,20,NA
belt,26,1.285714286
bench,30,2
beside,NA,NA
better,27,2.4
bib,24,9.75
bicycle,22,NA
big,22,2.727272727
bird,17,2.375
bite,22,3.615384615
black,26,2.5
blanket,21,8.916666667
block,21,4.473684211
blow,24,2.5
blue,23,7.333333333
boat,21,1.363636364
book,16,4.7
boots,23,3
bottle,19,9.6
bowl,23,4.4
box,22,1.941176471
boy,23,7.923076923
bread,22,2.1
break,25,4.7
breakfast,24,4.7
bring,27,3.1
broken,23,2
broom,24,1.214285714
brother,27,5.3
brown,27,4.1
brush,22,2.3
bubbles,18,5.928571429
bucket,26,1.5
bug,21,3.076923077
build,27,2.428571429
bump,26,7.363636364
bunny,21,2.8
bus,21,2.285714286
but,NA,1.2
butter,24,2.4
butterfly,23,NA
buttocks,22,4.818181818
button,22,3.8
buy,27,4.066666667
by,29,2.083333333
bye,16,3.636363636
cake,22,4.166666667
call,24,NA
camera,25,4.9
camping,NA,1.6
candy,23,4.5
car,17,2.083333333
careful,26,NA
carrots,24,6.076923077
carry,25,5.909090909
cat,18,2
catch,25,2.5
cereal,22,6.315789474
chair,21,4.533333333
chalk,27,2.357142857
chase,28,3.8
cheek,23,5.842105263
cheerios,24,6.666666667
cheese,18,1.916666667
child,NA,8.615384615
chin,24,4.923076923
chocolate,25,2.142857143
choo choo,19,8.454545455
church,27,2.538461538
circus,30,4.454545455
clap,24,6.15
climb,26,2.909090909
clock,23,3.3
close,24,5.615384615
closet,26,1.916666667
cloud,25,2.363636364
clown,27,2.416666667
coat,23,2.363636364
cockadoodledoo,25,2.916666667
coffee,25,2.285714286
coke,28,1.5
cold,21,2.5
comb,25,3.875
